,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,2000-06-04,0.0,0.0,47.52,-7.9
1,2001-09-27,-85.18,-7.64,-37.66,-15.54
2,2001-10-13,-99.04,-7.26,-51.52,-15.16
3,2001-10-29,-57.3,-7.82,-9.78,-15.72
4,2002-02-18,-28.06,-8.38,19.46,-16.28
5,2003-02-05,4.02,-10.8,51.54,-18.7
6,2005-03-22,-76.04,-8.0,-28.52,-15.9
7,2005-07-28,-56.22,-6.14,-8.7,-14.04
8,2006-09-01,-54.16,-5.4,-6.64,-13.3
9,2006-09-17,-86.94,-6.9,-39.42,-14.8
10,2013-10-06,6.42,2.04,53.94,-5.86
11,2014-09-07,-102.14,-1.12,-54.62,-9.02
12,2014-09-23,-56.34,-2.42,-8.82,-10.32
13,2014-10-25,11.56,0.0,59.08,-7.9
14,2015-04-03,-19.48,-1.68,28.04,-9.58
15,2015-04-19,-23.5,5.38,24.02,-2.52
16,2016-08-27,-56.38,-2.62,-8.86,-10.52
17,2016-09-12,-62.3,-1.86,-14.78,-9.76
18,2017-10-01,-88.24,5.94,-40.72,-1.96
19,2018-10-04,-89.42,5.58,-41.9,-2.32
20,2018-10-20,-76.14,4.84,-28.62,-3.06
21,2018-12-29,-49.9,-1.3,-2.38,-9.2
22,2019-01-03,-54.88,-2.98,-7.36,-10.88
23,2019-01-26,-12.2,-8.0,35.32,-15.9
24,2019-02-05,18.84,-2.62,66.36,-10.52
25,2019-02-15,-78.52,-1.86,-31.0,-9.76
26,2019-02-25,-5.66,1.3,41.86,-6.6
27,2019-03-04,-31.14,-2.24,16.38,-10.14
28,2019-03-09,19.74,-2.8,67.26,-10.7
29,2019-03-12,-4.06,-2.62,43.46,-10.52
30,2019-04-08,19.96,1.3,67.48,-6.6
31,2019-04-11,12.88,1.48,60.4,-6.42
32,2019-04-13,-37.96,-1.3,9.56,-9.2
33,2019-04-26,-15.02,-0.38,32.5,-8.28
34,2019-08-09,-64.62,4.84,-17.1,-3.06
35,2019-08-24,-34.68,0.0,12.84,-7.9
36,2019-08-26,-34.06,-1.3,13.46,-9.2
37,2019-08-29,-38.26,2.22,9.26,-5.68
38,2019-08-31,-22.06,7.8,25.46,-0.1
39,2019-09-15,-15.3,7.62,32.22,-0.28
40,2019-09-18,18.22,5.58,65.74,-2.32
41,2019-09-28,-62.76,4.84,-15.24,-3.06
42,2019-10-08,-63.8,8.36,-16.28,0.46
43,2019-10-20,-23.12,-0.2,24.4,-8.1
44,2019-10-25,-35.18,5.58,12.34,-2.32
45,2019-10-30,38.7,-1.86,86.22,-9.76
46,2019-11-02,-0.08,-6.14,47.44,-14.04
47,2019-11-04,-46.46,-2.24,1.06,-10.14
48,2019-11-12,-15.12,-2.24,32.4,-10.14
49,2019-11-27,12.3,-1.5,59.82,-9.4
50,2019-12-04,-49.46,-1.86,-1.94,-9.76
51,2019-12-27,19.8,-3.92,67.32,-11.82
52,2019-12-29,39.46,-2.98,86.98,-10.88
53,2020-01-03,-54.42,-6.52,-6.9,-14.42
54,2020-01-11,11.54,-3.72,59.06,-11.62
55,2020-01-23,-22.74,-3.16,24.78,-11.06
56,2020-02-05,-64.6,-7.44,-17.08,-15.34
57,2020-02-10,34.16,-10.62,81.68,-18.52
58,2020-02-12,42.72,-10.62,90.24,-18.52
59,2020-03-11,46.72,-2.8,94.24,-10.7
60,2020-03-18,-67.28,-1.68,-19.76,-9.58
61,2020-03-23,-10.4,-6.7,37.12,-14.6
62,2020-03-26,27.62,-0.94,75.14,-8.84
63,2020-04-15,-35.44,-0.56,12.08,-8.46
64,2020-04-30,-6.94,1.48,40.58,-6.42
65,2020-08-08,3.92,2.78,51.44,-5.12
66,2020-08-28,-46.94,-0.38,0.58,-8.28
67,2020-08-30,-55.54,-0.94,-8.02,-8.84
68,2020-09-04,-7.9,2.6,39.62,-5.3
69,2020-09-09,-5.9,2.78,41.62,-5.12
70,2020-09-12,-40.94,3.72,6.58,-4.18
71,2020-09-27,-85.36,-0.2,-37.84,-8.1
72,2020-09-29,-53.48,-1.12,-5.96,-9.02
73,2020-11-01,8.02,2.78,55.54,-5.12
74,2020-11-13,-16.66,2.96,30.86,-4.94
75,2020-11-18,43.16,2.42,90.68,-5.48
76,2020-12-01,13.04,3.16,60.56,-4.74
77,2020-12-03,24.66,-0.2,72.18,-8.1
78,2020-12-08,-59.74,-2.24,-12.22,-10.14
79,2020-12-11,-76.58,-0.94,-29.06,-8.84
80,2020-12-13,-41.14,-2.06,6.38,-9.96
