,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,2001-04-04,0.0,0.0,-11.79,10.12
1,2001-04-20,5.14,-1.36,-6.65,8.76
2,2001-10-13,-2.71,-21.58,-14.5,-11.46
3,2001-10-29,9.02,-21.58,-2.77,-11.46
4,2002-01-17,5.83,-20.68,-5.96,-10.56
5,2004-05-06,1.98,-1.8,-9.81,8.32
6,2004-08-10,1.45,-17.54,-10.34,-7.42
7,2005-05-25,7.02,-1.36,-4.77,8.76
8,2005-08-29,0.33,-20.68,-11.46,-10.56
9,2006-01-20,5.12,-1.36,-6.67,8.76
10,2006-09-01,1.91,-18.44,-9.88,-8.32
11,2013-04-29,33.63,0.9,21.84,11.02
12,2014-05-18,33.13,2.68,21.34,12.8
13,2014-07-05,26.23,1.34,14.44,11.46
14,2014-09-07,15.0,-18.88,3.21,-8.76
15,2014-09-23,19.75,0.9,7.96,11.02
16,2014-10-25,28.11,0.0,16.32,10.12
17,2015-04-03,22.83,-17.08,11.04,-6.96
18,2015-04-19,20.53,-19.34,8.74,-9.22
19,2015-05-05,25.95,-1.36,14.16,8.76
20,2015-06-06,29.34,0.9,17.55,11.02
21,2016-07-26,28.36,2.68,16.57,12.8
22,2016-09-12,19.65,-19.34,7.86,-9.22
23,2017-08-30,15.15,0.0,3.36,10.12
24,2017-10-01,14.93,-19.78,3.14,-9.66
25,2018-06-14,16.66,2.68,4.87,12.8
26,2018-06-30,29.26,2.68,17.47,12.8
27,2018-07-16,27.52,49.88,15.73,60.0
28,2018-08-17,28.12,-18.44,16.33,-8.32
29,2018-09-02,16.89,-19.34,5.1,-9.22
30,2018-12-14,25.03,-70.12,13.24,-60.0
31,2019-01-18,17.84,-70.12,6.05,-60.0
32,2019-02-17,17.23,-70.12,5.44,-60.0
33,2019-03-04,22.51,-70.12,10.72,-60.0
34,2019-08-04,32.78,2.68,20.99,12.8
35,2019-10-20,27.51,-70.12,15.72,-60.0
36,2019-10-25,18.49,-22.48,6.7,-12.36
37,2019-11-04,24.23,-70.12,12.44,-60.0
38,2019-12-04,21.77,-70.12,9.98,-60.0
39,2019-12-29,28.72,-70.12,16.93,-60.0
40,2020-06-03,10.67,0.9,-1.12,11.02
41,2020-09-09,32.71,2.68,20.92,12.8
42,2020-10-04,30.46,-70.12,18.67,-60.0
43,2020-10-24,16.65,-70.12,4.86,-60.0
44,2020-11-13,21.15,-21.14,9.36,-11.02
45,2020-12-03,10.71,-70.12,-1.08,-60.0
46,2020-12-08,24.46,-70.12,12.67,-60.0
47,2021-01-22,17.14,-70.12,5.35,-60.0
48,2021-02-21,21.67,-70.12,9.88,-60.0
49,2021-04-03,24.76,-19.34,12.97,-9.22
50,2021-08-09,16.7,2.68,4.91,12.8
51,2021-08-25,26.42,2.68,14.63,12.8
52,2021-09-04,20.37,-0.9,8.58,9.22
53,2021-09-24,19.19,-70.12,7.4,-60.0
54,2021-11-18,22.87,-22.92,11.08,-12.8
55,2021-12-18,21.2,-70.12,9.41,-60.0
56,2022-01-22,25.3,-70.12,13.51,-60.0
57,2022-02-21,17.03,-21.14,5.24,-11.02
58,2022-03-05,24.21,-19.34,12.42,-9.22
59,2022-06-09,20.36,2.68,8.57,12.8
60,2022-08-04,29.78,2.68,17.99,12.8
61,2022-10-19,23.87,0.9,12.08,11.02
62,2022-11-08,7.95,3.14,-3.84,13.26
63,2023-02-06,27.04,-70.12,15.25,-60.0
64,2023-03-23,10.74,-70.12,-1.05,-60.0
65,2023-04-09,19.89,-21.14,8.1,-11.02
66,2023-09-19,29.62,-70.12,17.83,-60.0
67,2023-11-27,20.12,-19.78,8.33,-9.66
68,2023-12-08,4.25,-70.12,-7.54,-60.0
69,2023-12-13,20.42,-70.12,8.63,-60.0
70,2024-01-07,19.59,-70.12,7.8,-60.0
71,2024-01-12,19.47,-70.12,7.68,-60.0
72,2024-02-06,15.05,-70.12,3.26,-60.0
73,2024-02-11,28.31,-70.12,16.52,-60.0
74,2024-03-07,16.11,-70.12,4.32,-60.0
75,2024-05-13,29.38,2.68,17.59,12.8
76,2024-05-29,27.59,2.68,15.8,12.8
77,2024-07-08,27.38,8.54,15.59,18.66
78,2024-07-24,28.83,49.88,17.04,60.0
79,2024-10-20,26.02,-19.34,14.23,-9.22
80,2024-10-28,18.64,-70.12,6.85,-60.0
81,2024-12-12,13.9,-70.12,2.11,-60.0
82,2025-01-26,20.71,-70.12,8.92,-60.0
