Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,LE07,1999-08-05,-0.96,-19.28,-0.27,-5.42,-16.12,-4.4,11.12,1213.4,28.8
,LE07,1999-09-06,0.2,3.92,-0.48,-9.5,2.48,-6.16,31.48,1194.8,27.04
,LE07,1999-10-24,-0.32,-6.46,-0.4,-7.92,-5.0,-4.68,22.52,1202.28,28.52
,LE07,2000-02-13,-0.62,-12.38,-0.91,-18.28,565.48,-11.36,599.68,631.8,21.84
,LE07,2000-04-01,-0.01,-0.18,-0.31,-6.2,-0.08,-4.32,27.08,1197.36,28.88
,LE07,2001-07-25,-0.97,-19.4,-0.22,-4.32,-16.32,-4.32,10.84,1213.6,28.88
,LE07,2001-10-13,0.41,8.16,-0.41,-8.24,4.04,-4.92,31.8,1193.24,28.28
,LE07,2001-10-29,0.23,4.54,-0.59,-11.84,2.68,-7.6,33.12,1194.6,25.6
,LE07,2002-01-17,-5.84,-116.8,-0.52,-10.44,-21.28,-7.04,8.6,1218.56,26.16
,LE07,2002-04-07,-0.69,-13.72,-0.3,-6.04,-10.4,-4.76,17.2,1207.68,28.44
,LT05,2005-07-28,-0.69,-13.72,-0.05,-1.02,577.56,-2.4,602.8,619.72,30.8
,LT05,2005-08-29,0.21,4.16,-0.35,-6.98,1.92,-3.4,28.16,1195.36,29.8
,LT05,2006-09-01,-0.93,-18.68,-0.15,-3.06,-16.68,-3.76,9.92,1213.96,29.44
,LC08,2013-04-29,-0.76,-15.12,-0.21,-4.16,-8.2,-3.56,18.2,1205.36,29.64
,LC08,2014-09-07,0.88,17.7,-0.22,-4.32,16.76,-3.12,42.72,1180.52,30.08
,LC08,2014-10-25,-0.49,-9.72,-0.18,-3.52,-7.0,-3.76,19.6,1204.28,29.44
,LC08,2015-04-03,-0.12,-2.36,-0.39,-7.76,-3.2,-4.36,24.0,1200.48,28.84
,LC08,2015-04-19,-0.15,-2.96,-0.29,-5.72,0.56,-3.76,27.16,1196.72,29.44
,LC08,2015-06-06,-0.71,-14.2,-0.2,-4.0,-10.88,-3.44,15.4,1208.16,29.76
,LC08,2016-08-27,0.61,12.14,-0.38,-7.6,11.36,-4.24,38.44,1185.92,28.96
