,date,sand_area_percentage_change,water_area_percentage_change,vegetation_area_percentage_change
0,1999-09-06,0.0,0.0,0.0
1,1999-10-08,-3.17,3.26,-0.1
2,2000-04-01,46.61,-46.66,0.05
3,2001-04-04,-46.09,46.23,-0.14
4,2001-04-20,-0.18,0.18,0.0
5,2001-10-13,0.56,-0.56,0.0
6,2001-10-29,0.16,-0.16,0.0
7,2002-04-07,-0.74,0.74,0.0
8,2003-05-12,-0.4,0.32,0.09
9,2003-11-28,34.04,-34.06,0.02
10,2004-09-11,-33.62,33.7,-0.08
11,2004-10-13,-0.48,0.49,-0.01
12,2005-08-29,0.25,-0.45,0.2
13,2006-04-10,-1.19,1.41,-0.22
14,2006-04-26,1.12,-1.12,0.0
15,2013-04-29,-0.03,-0.02,0.04
16,2014-01-10,0.75,-0.71,-0.04
17,2014-02-11,0.24,-0.31,0.07
18,2014-02-27,1.75,-1.74,-0.01
19,2014-09-07,1.03,-1.1,0.07
20,2014-10-25,-4.38,4.41,-0.04
21,2014-11-10,-0.71,0.71,0.0
22,2014-11-26,11.21,-11.2,-0.01
23,2015-04-03,-9.67,9.76,-0.09
24,2015-04-19,-0.52,0.48,0.04
25,2015-06-06,11.64,-11.64,-0.0
26,2015-10-28,-12.48,12.43,0.05
27,2016-04-21,2.07,-2.01,-0.05
28,2016-06-08,-1.47,1.43,0.04
29,2016-08-27,2.46,-2.47,0.01
30,2016-09-12,-0.47,0.48,-0.01
31,2016-12-17,-3.54,3.54,0.0
32,2017-08-14,0.81,-0.81,0.0
33,2017-08-30,1.13,-1.13,0.0
34,2017-10-01,0.73,-0.74,0.01
35,2018-05-29,18.94,-18.98,0.04
36,2018-08-17,-20.02,20.06,-0.04
37,2018-10-04,1.49,-1.47,-0.02
38,2019-01-03,0.11,-0.18,0.06
39,2019-01-18,3.81,-3.82,0.01
40,2019-02-12,-4.93,4.96,-0.04
41,2019-02-17,5.15,-5.15,-0.0
42,2019-03-04,-3.45,3.5,-0.05
43,2019-08-31,-1.24,1.17,0.07
44,2019-10-20,-0.79,0.79,0.0
45,2019-11-04,0.58,-0.58,0.0
46,2019-12-04,0.32,-0.29,-0.03
47,2019-12-19,-0.52,0.53,-0.01
48,2019-12-29,0.02,-0.04,0.02
49,2020-01-11,0.01,0.09,-0.1
50,2020-01-28,-0.39,0.32,0.07
51,2020-02-12,-0.29,0.23,0.06
52,2020-02-27,0.69,-0.61,-0.08
53,2020-08-30,5.23,-5.3,0.08
54,2020-09-09,-4.93,5.0,-0.07
55,2020-10-04,0.52,-0.54,0.03
56,2020-10-24,1.24,-1.28,0.04
57,2020-11-13,5.77,-5.72,-0.04
58,2020-12-08,-5.96,5.92,0.04
59,2020-12-18,-1.83,1.86,-0.03
60,2021-01-22,1.21,-1.2,-0.01
61,2021-02-21,0.37,-0.32,-0.04
62,2021-04-03,-1.46,1.55,-0.09
63,2021-04-17,0.56,-0.72,0.16
64,2021-07-21,2.4,-2.41,0.01
65,2021-08-25,-3.69,3.76,-0.07
66,2021-09-04,5.64,-6.88,1.24
67,2021-10-29,-4.73,4.73,0.0
68,2021-12-18,0.62,0.24,-0.86
69,2021-12-23,-1.32,1.54,-0.22
70,2022-01-02,2.1,-2.31,0.21
71,2022-01-22,-2.49,2.7,-0.2
72,2022-03-05,0.27,-0.1,-0.18
73,2022-04-14,0.93,-0.91,-0.02
74,2022-04-30,-0.2,0.19,0.01
75,2022-08-04,-0.14,0.13,0.01
76,2022-08-20,0.13,-0.11,-0.02
77,2022-11-03,1.02,-1.14,0.12
78,2022-12-03,0.86,-0.82,-0.04
79,2023-02-06,-0.98,1.0,-0.02
80,2023-02-21,-0.82,0.8,0.03
81,2023-03-08,-1.59,1.68,-0.09
82,2023-04-12,0.22,-1.21,0.99
83,2023-05-11,-0.33,1.34,-1.01
84,2023-07-14,4.34,-4.31,-0.04
85,2023-08-20,-3.0,2.83,0.18
86,2023-08-31,0.81,-0.67,-0.13
87,2023-09-19,-0.55,0.45,0.1
88,2023-10-09,1.37,-1.37,0.0
89,2023-11-13,-0.86,-0.31,1.16
90,2023-11-27,-0.73,1.97,-1.23
91,2023-12-08,1.5,-1.54,0.04
92,2023-12-13,-0.6,0.64,-0.04
93,2024-01-07,2.21,-2.26,0.04
94,2024-01-12,-1.83,1.82,0.01
95,2024-01-22,0.74,-0.69,-0.05
96,2024-02-06,-0.21,0.2,0.01
97,2024-02-11,-1.97,0.76,1.21
98,2024-02-15,0.38,0.87,-1.24
99,2024-02-16,0.86,-0.9,0.04
100,2024-02-23,0.2,-0.05,-0.15
101,2024-03-07,1.35,-1.44,0.1
102,2024-03-17,-1.4,1.34,0.06
103,2024-03-27,-0.48,0.52,-0.04
104,2024-04-16,0.2,-0.2,0.0
105,2024-04-21,1.3,-1.33,0.04
106,2024-04-27,-2.24,2.39,-0.15
107,2024-05-05,2.62,-2.64,0.02
108,2024-05-29,-3.86,3.89,-0.03
109,2024-06-14,1.49,-1.5,0.01
110,2024-07-24,9.5,-9.7,0.19
111,2024-08-24,-10.21,10.25,-0.04
112,2024-09-03,0.75,-0.74,-0.01
113,2024-09-23,-0.72,0.69,0.03
