,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,2002-09-14,0.0,0.0,-12.13,-60.0
1,2005-08-29,13.57,46.88,1.44,-13.12
2,2006-09-01,-83.51,70.46,-95.64,10.46
3,2013-05-15,-76.33,47.68,-88.46,-12.32
4,2013-08-19,6.99,0.0,-5.14,-60.0
5,2014-02-27,16.89,0.0,4.76,-60.0
6,2014-09-07,8.25,0.0,-3.88,-60.0
7,2015-04-19,3.61,0.0,-8.52,-60.0
8,2015-05-05,3.61,0.0,-8.52,-60.0
9,2015-06-06,100.11,0.0,87.98,-60.0
10,2016-07-26,10.22,0.0,-1.91,-60.0
11,2016-08-27,7.59,0.0,-4.54,-60.0
12,2016-09-12,9.98,0.0,-2.15,-60.0
13,2016-10-14,10.98,0.0,-1.15,-60.0
14,2016-12-17,-64.54,70.72,-76.67,10.72
15,2017-10-01,1.24,0.0,-10.89,-60.0
16,2018-07-16,-69.66,70.72,-81.79,10.72
17,2018-08-01,8.38,63.04,-3.75,3.04
18,2018-09-02,6.44,55.9,-5.69,-4.1
19,2018-10-04,1.87,0.0,-10.26,-60.0
20,2018-12-14,13.53,53.24,1.4,-6.76
21,2019-01-18,24.82,56.42,12.69,-3.58
22,2019-01-31,17.37,0.0,5.24,-60.0
23,2019-02-15,6.35,0.0,-5.78,-60.0
24,2019-02-17,16.22,53.24,4.09,-6.76
25,2019-03-04,18.0,0.0,5.87,-60.0
26,2019-03-22,35.22,52.72,23.09,-7.28
27,2019-03-24,24.08,57.74,11.95,-2.26
28,2019-04-01,19.34,0.0,7.21,-60.0
29,2019-04-26,22.82,55.9,10.69,-4.1
30,2019-05-26,28.37,58.54,16.24,-1.46
31,2019-05-31,14.51,58.28,2.38,-1.72
32,2019-06-15,10.62,0.0,-1.51,-60.0
33,2019-07-30,7.5,60.4,-4.63,0.4
34,2019-08-11,9.56,52.46,-2.57,-7.54
35,2019-08-29,10.03,0.0,-2.1,-60.0
36,2019-09-28,14.98,56.16,2.85,-3.84
