,date,sand_area_percentage_change,water_area_percentage_change,vegetation_area_percentage_change
0,2000-11-25,0.0,0.0,0.0
1,2000-12-04,0.17,-0.17,-0.01
2,2001-02-06,-0.55,0.56,-0.01
3,2001-03-10,0.52,-0.53,0.01
4,2001-09-02,-0.56,0.57,-0.01
5,2001-09-18,0.04,-0.04,0.01
6,2002-05-07,-0.07,0.06,0.02
7,2002-06-24,-0.07,0.1,-0.03
8,2002-07-10,0.11,-0.09,-0.02
9,2002-09-12,1.17,-1.28,0.11
10,2002-10-30,-0.71,0.79,-0.08
11,2003-01-27,-0.43,0.42,0.01
12,2003-02-19,-0.03,0.02,0.01
13,2003-04-08,0.39,-0.39,0.0
14,2003-07-21,-0.19,0.12,0.07
15,2004-04-18,-0.19,0.27,-0.08
16,2004-05-20,7.92,-8.03,0.11
17,2005-03-13,-7.9,8.0,-0.11
18,2005-04-05,0.37,-0.38,0.02
19,2005-04-21,-0.46,0.46,0.0
20,2005-05-23,-0.1,0.1,0.0
21,2006-06-27,13.27,-13.47,0.2
22,2008-02-25,-13.14,13.33,-0.2
23,2008-12-09,0.05,-0.05,0.0
24,2010-01-29,0.45,-0.44,-0.01
25,2010-10-12,1.33,-1.4,0.07
26,2013-06-30,-1.44,1.33,0.11
27,2013-08-17,1.01,-1.01,-0.01
28,2014-03-13,0.92,-0.99,0.08
29,2014-05-16,-1.1,1.06,0.04
30,2014-05-25,-1.22,1.5,-0.28
31,2014-06-01,0.89,-1.05,0.16
32,2014-09-30,1.78,-1.79,0.01
33,2015-06-13,-2.71,2.89,-0.19
34,2015-06-20,0.38,-0.54,0.16
35,2015-12-13,0.12,0.04,-0.15
36,2016-01-30,2.22,-2.31,0.09
37,2016-03-02,-0.06,0.05,0.01
38,2016-03-27,-0.61,0.41,0.2
39,2016-07-24,-1.67,1.8,-0.13
40,2016-10-12,0.42,-0.28,-0.15
41,2016-12-15,-0.33,0.33,0.0
42,2017-04-06,1.18,-1.32,0.14
43,2017-05-08,-0.6,0.55,0.05
44,2017-06-09,-0.25,0.27,-0.02
45,2017-06-18,0.34,-0.45,0.11
46,2018-04-02,5.94,-5.64,-0.3
47,2018-04-18,-5.97,5.75,0.22
48,2018-04-25,0.87,-0.93,0.06
49,2018-08-24,-0.55,0.53,0.02
50,2018-08-31,0.06,0.05,-0.11
51,2018-09-25,-1.06,1.16,-0.1
52,2018-10-18,2.54,-2.67,0.13
53,2018-12-17,-2.16,2.34,-0.19
54,2018-12-21,0.92,-1.04,0.12
55,2019-01-16,6.55,-6.46,-0.09
56,2019-01-21,-2.2,2.12,0.08
57,2019-01-24,5.61,-5.64,0.03
58,2019-02-08,-6.85,6.97,-0.13
59,2019-02-10,0.94,-1.0,0.06
60,2019-02-28,4.99,-4.98,-0.01
61,2019-03-02,-5.0,5.01,-0.01
62,2019-03-17,1.83,-1.84,0.01
63,2019-03-20,-0.19,0.1,0.09
64,2019-03-27,-3.94,4.01,-0.07
65,2019-03-30,6.08,-6.14,0.06
66,2019-04-24,-1.48,1.41,0.07
67,2019-05-14,-7.68,7.72,-0.04
68,2019-06-15,-0.03,0.01,0.03
69,2019-07-10,-0.09,0.19,-0.1
70,2019-07-17,0.03,-0.12,0.09
71,2019-08-02,24.43,-24.48,0.05
72,2019-08-27,-19.13,19.14,-0.02
73,2019-08-29,-2.21,2.2,0.01
74,2019-09-06,-1.61,1.61,-0.01
75,2019-09-11,6.15,-6.16,0.01
76,2019-09-18,1.3,-1.26,-0.05
77,2019-10-01,-6.86,6.89,-0.03
78,2019-10-05,0.12,-0.2,0.09
79,2019-10-16,-0.82,1.0,-0.18
80,2019-10-21,2.84,-2.98,0.15
81,2019-11-20,-0.32,0.34,-0.03
82,2019-12-08,-3.47,3.65,-0.18
83,2019-12-10,0.76,-0.88,0.12
84,2019-12-12,-0.82,0.93,-0.11
85,2019-12-30,2.59,-2.72,0.14
86,2020-01-06,1.18,-1.08,-0.1
87,2020-02-05,-3.2,3.25,-0.05
88,2020-02-08,3.77,-3.86,0.09
89,2020-02-13,4.72,-4.7,-0.03
90,2020-02-23,3.86,-3.86,0.01
91,2020-02-25,-5.46,5.48,-0.02
92,2020-03-14,-0.81,0.81,-0.01
93,2020-03-24,-5.78,5.83,-0.05
94,2020-04-14,-0.23,0.07,0.16
95,2020-04-28,4.89,-4.87,-0.02
96,2020-05-09,-4.23,4.13,0.11
