Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,LE07,2000-11-25,,,,,-0.8,-12.4,14.6,1203.84,17.84
,LE07,2001-04-02,,,,,-1.12,-11.08,12.96,1204.16,19.16
,LE07,2002-09-12,,,,,-1.28,-13.48,15.2,1204.32,16.76
,LE07,2002-10-30,,,,,-0.08,-13.04,15.96,1203.12,17.2
,LE07,2003-01-02,,,,,-0.8,-12.76,14.96,1203.84,17.48
,LT05,2004-04-02,,,,,166.8,-12.2,182.0,1036.24,18.04
,LT05,2004-09-25,,,,,-0.48,-11.28,13.8,1203.52,18.96
,LT05,2005-04-05,,,,,-1.52,-10.96,12.44,1204.56,19.28
,LT05,2005-09-28,,,,,-0.8,-11.44,13.64,1203.84,18.8
,LT05,2005-10-30,,,,,-0.84,-8.24,10.4,1203.88,22.0
,LT05,2008-12-25,,,,,-1.32,-8.96,10.64,1204.36,21.28
,LT05,2010-10-12,,,,,-0.32,-9.52,12.2,1203.36,20.72
,LT05,2011-01-16,,,,,-0.32,-9.8,12.48,1203.36,20.44
,LT05,2011-02-17,,,,,-1.08,-9.08,11.0,1204.12,21.16
,LT05,2011-09-13,,,,,-0.2,-10.32,13.12,1203.24,19.92
,LC08,2013-05-13,,,,,1.6,-4.64,9.24,1200.6,25.6
,LC08,2013-09-02,,,,,1.56,-5.32,9.88,1200.4,24.92
,LC08,2014-01-24,,,,,1.56,-6.96,11.52,1201.48,23.28
,LC08,2015-09-08,,,,,1.56,-6.88,11.44,1201.48,23.36
,LC08,2015-11-27,,,,,1.56,-4.88,9.44,1201.48,25.36
,LC08,2015-12-13,,,,,1.88,-4.44,9.32,1200.24,25.8
,LC08,2016-01-14,,,,,10.6,-6.76,20.36,1192.44,23.48
,LC08,2016-05-05,,,,,14.72,-5.52,23.24,1188.08,24.72
,LC08,2016-09-10,,,,,1.56,-5.72,10.28,1201.08,24.52
,LC08,2016-10-12,,,,,1.56,-5.24,9.8,1200.6,25.0
,LC08,2016-12-15,,,,,1.56,-3.96,8.52,1201.4,26.28
,LC08,2017-03-21,,,,,1.56,-5.08,9.64,1200.8,25.16
,LC08,2017-04-22,,,,,1.56,-6.56,11.12,1200.92,23.68
,LC08,2017-05-08,,,,,1.56,-5.6,10.16,1200.88,24.64
,LC08,2018-08-31,,,,,1.56,-5.56,10.12,1200.88,24.68
,S2,2019-02-13,-14.63,-292.62,,,33.56,-6.6,43.16,1169.48,23.64
,S2,2019-02-25,-15.38,-307.5,,,10.84,-6.4,20.24,1192.2,23.84
,S2,2019-02-28,-14.57,-291.36,,,10.28,-7.4,20.68,1192.76,22.84
,S2,2019-03-02,-15.73,-314.68,,,11.88,-8.24,23.12,1191.16,22.0
,S2,2019-03-05,-13.25,-264.92,,,9.44,-6.12,18.56,1193.6,24.12
,S2,2019-03-30,-14.01,-280.24,,,10.2,-3.96,17.16,1192.84,26.28
,S2,2019-04-24,-15.12,-302.5,,,13.92,-1.6,18.52,1189.12,28.64
,S2,2019-09-01,-12.34,-246.86,,,9.56,-1.88,14.44,1193.48,28.36
,S2,2019-09-06,-12.34,-246.86,,,9.68,-2.72,15.4,1193.36,27.52
,S2,2019-09-11,-14.5,-290.1,,,10.2,-1.6,14.8,1192.84,28.64
,S2,2019-09-16,-12.21,-244.22,,,9.16,-1.68,13.84,1193.88,28.56
,S2,2019-09-18,-15.19,-303.76,,,9.92,-5.04,17.96,1193.12,25.2
,LC08,2019-09-19,,,,,1.56,-5.08,9.64,1201.36,25.16
,S2,2019-09-21,-22.38,-447.66,,,12.44,-2.36,17.8,1190.6,27.88
,S2,2019-10-28,-14.63,-292.62,,,10.84,-3.64,17.48,1192.2,26.6
,LC08,2019-12-08,,,,,7.72,-4.44,15.16,1195.08,25.8
