,date,sand_area_percentage_change,water_area_percentage_change,vegetation_area_percentage_change
0,1999-08-28,0.0,0.0,0.0
1,1999-11-16,1.62,-1.61,-0.01
2,1999-12-09,-2.09,1.75,0.34
3,2000-01-19,-0.81,0.74,0.07
4,2000-01-26,4.56,-4.36,-0.2
5,2000-03-14,-1.82,1.51,0.31
6,2000-05-01,-2.74,2.29,0.45
7,2000-11-25,-1.59,0.73,0.86
8,2000-12-04,3.36,-3.06,-0.31
9,2001-02-06,-1.7,2.61,-0.9
10,2001-02-13,3.2,-2.54,-0.66
11,2001-03-10,-2.45,2.4,0.05
12,2001-09-02,-1.23,0.25,0.98
13,2001-12-30,-1.02,0.6,0.42
14,2002-03-04,4.1,-3.29,-0.81
15,2002-07-10,-2.48,3.19,-0.71
16,2002-10-07,-0.54,-0.82,1.36
17,2002-10-14,2.09,-2.03,-0.06
18,2002-10-23,-1.9,1.78,0.12
19,2002-12-26,1.98,-1.57,-0.42
20,2003-01-27,-0.41,0.76,-0.35
21,2003-03-16,-0.5,1.69,-1.19
22,2003-03-23,3.24,-2.89,-0.35
23,2004-02-23,-4.41,2.06,2.35
24,2004-04-02,-0.29,0.3,-0.01
25,2004-08-24,2.51,-2.59,0.07
26,2004-09-18,-1.85,1.45,0.4
27,2004-09-25,-0.38,0.22,0.15
28,2005-01-15,2.28,-2.25,-0.03
29,2005-01-31,-0.54,0.73,-0.19
30,2005-05-07,-2.93,2.93,0.0
31,2005-07-19,0.79,-0.92,0.13
32,2005-08-27,1.65,-1.92,0.28
33,2005-09-12,-0.28,0.16,0.12
34,2005-09-28,-0.49,0.29,0.2
35,2005-11-08,2.61,-2.51,-0.1
36,2011-02-17,-2.95,3.34,-0.38
37,2011-09-13,1.05,0.6,-1.65
38,2013-08-17,-1.7,-1.83,3.53
39,2013-09-02,0.52,-0.4,-0.13
40,2013-09-11,-0.62,0.24,0.38
41,2013-11-14,0.43,-0.15,-0.28
42,2013-11-21,-0.11,0.27,-0.16
43,2014-01-24,2.83,-2.02,-0.81
44,2014-02-02,-2.28,1.87,0.41
45,2014-03-06,3.35,-1.79,-1.56
46,2014-08-29,-2.58,1.48,1.11
47,2014-09-30,2.36,-2.0,-0.36
48,2014-11-08,-4.08,2.96,1.12
49,2014-12-26,2.98,-2.11,-0.87
50,2015-01-20,-3.22,2.91,0.3
51,2015-08-16,0.83,-0.72,-0.1
52,2015-09-17,-0.57,-0.43,1.0
53,2015-10-19,1.42,-0.92,-0.5
54,2015-12-29,-1.05,0.27,0.79
55,2016-01-14,3.61,-1.09,-2.52
56,2016-03-02,1.62,-1.35,-0.27
57,2016-03-11,-2.25,2.36,-0.11
58,2016-08-18,-4.41,1.35,3.05
59,2016-09-10,3.26,-3.34,0.08
60,2016-10-28,-3.74,3.35,0.39
61,2016-12-08,2.78,-2.64,-0.14
62,2016-12-15,-3.1,3.05,0.05
63,2017-12-11,3.96,-2.46,-1.5
64,2018-01-28,0.29,0.53,-0.83
65,2018-03-17,-3.08,1.15,1.93
66,2018-03-24,3.78,-3.78,0.0
67,2018-09-09,-4.34,3.75,0.59
68,2018-09-25,-0.94,0.96,-0.03
69,2018-10-18,4.13,-4.09,-0.05
70,2018-11-28,1.72,-1.74,0.02
71,2018-12-14,-0.11,0.11,0.01
72,2018-12-21,-5.42,4.99,0.44
73,2018-12-27,6.12,-5.36,-0.76
74,2019-01-21,-4.85,5.38,-0.52
75,2019-02-10,4.45,-4.37,-0.09
76,2019-02-15,-2.32,2.46,-0.14
77,2019-02-16,-1.4,0.76,0.64
78,2019-02-25,4.16,-3.68,-0.48
79,2019-03-02,-2.25,2.27,-0.02
80,2019-03-17,-0.19,0.47,-0.28
81,2019-03-27,0.26,-0.13,-0.13
