Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,LE07,1999-08-28,-227.94,-4558.8,4.0,80.0,356.24,0.0,357.76,566.04,12.88
,LE07,2003-03-16,3.33,66.66,4.0,80.0,333.28,1.52,333.28,589.0,14.4
,LT05,2004-10-20,-140.43,-2808.5,4.0,80.0,391.96,0.0,393.48,530.32,12.88
,LT05,2005-08-20,-277.15,-5542.98,4.0,80.0,337.76,0.0,339.28,584.52,12.88
,LT05,2006-11-20,-152.45,-3048.98,4.0,80.0,386.8,0.0,388.32,535.48,12.88
,LT05,2006-12-06,-68.79,-1375.74,4.0,80.0,424.64,0.0,426.16,497.64,12.88
,LC08,2013-09-27,-1649.71,-32994.28,4.0,80.0,-1.44,0.0,0.08,923.72,12.88
,LC08,2015-03-09,-1649.71,-32994.28,4.0,80.0,-1.44,0.0,0.08,923.72,12.88
,LC08,2015-05-12,-1649.71,-32994.28,4.0,80.0,-1.44,0.0,0.08,923.72,12.88
,LC08,2015-07-15,-1646.57,-32931.44,4.0,80.0,-0.84,0.0,0.68,923.12,12.88
,LC08,2015-08-16,-63.08,-1261.6,4.0,80.0,46.32,1.52,46.32,875.96,14.4
,LC08,2016-02-08,-1649.71,-32994.28,4.0,80.0,-1.44,0.0,0.08,923.72,12.88
,LC08,2016-04-28,-1649.71,-32994.28,4.0,80.0,-1.44,0.0,0.08,923.72,12.88
,LC08,2017-03-30,-1649.71,-32994.28,4.0,80.0,-1.44,0.0,0.08,923.72,12.88
,LC08,2017-05-01,-1643.29,-32865.8,4.0,80.0,-0.2,0.0,1.32,922.48,12.88
,LC08,2017-09-06,-1649.71,-32994.28,-2.56,-51.22,-1.44,-3.08,3.16,923.72,9.8
,LC08,2017-10-24,-1337.62,-26752.48,-3.88,-77.7,59.44,-6.28,67.24,862.84,6.6
,LC08,2018-08-24,-1549.25,-30984.94,4.0,80.0,17.56,0.0,19.08,904.72,12.88
,LC08,2018-10-27,-1649.71,-32994.28,4.0,80.0,-1.44,0.0,0.08,923.72,12.88
,S2,2018-12-27,-1649.86,-32997.14,4.0,80.0,-1.48,0.0,0.04,923.76,12.88
,S2,2019-01-01,0.95,18.94,4.0,80.0,433.68,1.52,433.68,488.6,14.4
