,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,2000-01-17,0.0,0.0,32.4,11.18
1,2000-12-02,-32.99,8.24,-0.59,19.42
2,2001-12-21,-23.91,8.24,8.49,19.42
3,2002-01-22,-17.12,8.24,15.28,19.42
4,2004-07-14,-0.91,-13.14,31.49,-1.96
5,2004-11-19,-26.39,7.84,6.01,19.02
6,2011-09-04,-30.86,-1.76,1.54,9.42
7,2013-12-14,-5.46,-2.16,26.94,9.02
8,2013-12-30,-11.17,-1.76,21.23,9.42
9,2014-07-10,-2.99,-7.26,29.41,3.92
10,2014-12-01,-19.82,-1.58,12.58,9.6
11,2017-08-19,-0.7,-5.68,31.7,5.5
12,2018-03-31,-154.95,-5.5,-122.55,5.68
13,2018-09-07,-177.06,-2.36,-144.66,8.82
14,2019-03-02,-15.25,-7.06,17.15,4.12
15,2019-03-05,-10.43,-6.48,21.97,4.7
16,2019-03-25,-25.89,-7.06,6.51,4.12
17,2019-04-14,-29.42,-6.68,2.98,4.5
18,2019-05-04,-160.22,-6.86,-127.82,4.32
19,2019-06-18,100.6,-7.06,133.0,4.12
20,2019-08-09,-36.0,-7.06,-3.6,4.12
21,2019-09-01,-154.19,-6.86,-121.79,4.32
22,2019-10-26,-157.85,-7.06,-125.45,4.12
23,2019-12-10,-16.12,-7.06,16.28,4.12
24,2020-04-03,-15.43,-15.68,16.97,-4.5
25,2020-06-02,-19.83,-6.86,12.57,4.32
26,2020-10-10,-34.79,-7.06,-2.39,4.12
27,2020-11-19,-40.28,-15.68,-7.88,-4.5
28,2020-12-14,-2.08,-15.68,30.32,-4.5
29,2021-01-03,-50.16,-15.68,-17.76,-4.5
30,2021-01-18,-211.27,-7.06,-178.87,4.12
31,2021-02-12,-161.01,-15.68,-128.61,-4.5
32,2021-03-23,-15.41,-7.06,16.99,4.12
33,2021-04-24,-11.55,-7.06,20.85,4.12
34,2021-05-13,-163.64,-7.06,-131.24,4.12
35,2021-07-02,-37.62,-15.68,-5.22,-4.5
36,2021-07-29,-33.14,-15.68,-0.74,-4.5
37,2021-09-20,-161.27,-15.68,-128.87,-4.5
38,2021-12-24,-40.59,-7.06,-8.19,4.12
39,2022-01-03,-157.06,-7.06,-124.66,4.12
40,2022-01-08,-45.61,-15.68,-13.21,-4.5
41,2022-02-22,-33.01,-15.68,-0.61,-4.5
42,2022-03-29,-12.65,-7.06,19.75,4.12
43,2022-04-08,-29.03,-15.68,3.37,-4.5
44,2022-04-13,-40.21,-15.68,-7.81,-4.5
45,2022-06-30,147.36,-7.06,179.76,4.12
46,2022-09-20,-38.29,-7.06,-5.89,4.12
47,2022-12-19,-23.25,-15.68,9.15,-4.5
48,2023-01-16,-27.49,-7.06,4.91,4.12
49,2023-02-27,-34.75,-7.06,-2.35,4.12
50,2023-03-13,-64.87,-7.06,-32.47,4.12
51,2023-03-19,155.07,-7.06,187.47,4.12
52,2023-03-21,168.13,-7.06,200.53,4.12
53,2023-05-13,-49.22,-7.06,-16.82,4.12
54,2023-07-22,-34.16,-15.68,-1.76,-4.5
55,2023-08-28,127.64,-10.78,160.04,0.4
56,2023-11-08,-187.59,-19.22,-155.19,-8.04
57,2024-02-20,-27.65,-10.78,4.75,0.4
58,2024-02-28,-192.59,-10.78,-160.19,0.4
59,2024-04-02,-41.29,-19.42,-8.89,-8.24
60,2024-04-16,-48.78,-19.22,-16.38,-8.04
61,2024-07-11,-39.34,-10.78,-6.94,0.4
62,2024-07-26,-41.67,-22.74,-9.27,-11.56
63,2024-08-05,-161.27,-7.06,-128.87,4.12
64,2024-08-22,-167.59,-10.78,-135.19,0.4
65,2025-01-21,-53.89,-20.6,-21.49,-9.42
66,2025-01-22,-43.83,-22.74,-11.43,-11.56
67,2025-03-02,127.59,-19.42,159.99,-8.24
68,2025-03-13,124.48,-19.42,156.88,-8.24
69,2025-04-11,12.84,-19.42,45.24,-8.24
70,2025-04-22,-37.04,-22.74,-4.64,-11.56
71,2025-06-16,-29.54,-7.06,2.86,4.12
72,2025-07-06,-34.74,-10.78,-2.34,0.4
73,2025-07-26,-159.95,-13.14,-127.55,-1.96
74,2025-07-31,-40.43,-9.42,-8.03,1.76
