,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,2019-02-13,0.0,0.0,1.34,-7.2
1,2019-02-18,17.74,0.0,19.08,-7.2
2,2019-02-26,2.17,0.0,3.51,-7.2
3,2019-03-05,34.29,0.0,35.63,-7.2
4,2019-03-13,2.86,0.0,4.2,-7.2
5,2019-03-25,4.71,0.0,6.05,-7.2
6,2019-04-17,18.61,0.0,19.95,-7.2
7,2019-06-01,-8.28,-92.8,-6.94,-100.0
8,2019-10-26,21.79,0.0,23.13,-7.2
9,2019-11-03,-0.11,0.0,1.23,-7.2
10,2020-01-17,-2.34,0.0,-1.0,-7.2
11,2020-01-22,34.71,0.0,36.05,-7.2
12,2020-01-24,32.24,0.0,33.58,-7.2
13,2020-02-03,3.53,0.0,4.87,-7.2
14,2020-02-11,15.94,0.0,17.28,-7.2
15,2020-03-07,39.67,0.0,41.01,-7.2
16,2020-03-29,6.69,0.0,8.03,-7.2
17,2020-05-21,21.06,0.0,22.4,-7.2
18,2020-06-02,12.49,0.0,13.83,-7.2
19,2020-10-03,17.87,0.0,19.21,-7.2
20,2020-10-10,2.27,0.0,3.61,-7.2
21,2020-10-25,5.79,0.0,7.13,-7.2
22,2020-11-14,40.51,0.0,41.85,-7.2
23,2020-12-19,6.09,0.0,7.43,-7.2
24,2021-01-03,0.72,0.0,2.06,-7.2
25,2021-01-31,-1.11,0.0,0.23,-7.2
26,2021-02-02,3.37,0.0,4.71,-7.2
27,2021-02-20,4.3,0.0,5.64,-7.2
28,2021-03-19,5.53,0.0,6.87,-7.2
29,2021-03-24,20.11,0.0,21.45,-7.2
30,2021-10-15,10.89,0.0,12.23,-7.2
31,2021-12-14,11.59,0.0,12.93,-7.2
32,2021-12-19,9.33,0.0,10.67,-7.2
33,2022-01-03,20.41,0.0,21.75,-7.2
34,2022-01-11,6.72,0.0,8.06,-7.2
35,2022-09-17,2.74,0.0,4.08,-7.2
36,2022-10-19,4.23,0.0,5.57,-7.2
37,2022-12-04,19.76,0.0,21.1,-7.2
38,2022-12-14,5.58,0.0,6.92,-7.2
39,2022-12-19,14.81,0.0,16.15,-7.2
40,2023-01-18,18.33,0.0,19.67,-7.2
41,2023-03-07,19.6,0.0,20.94,-7.2
42,2023-03-17,13.7,0.0,15.04,-7.2
43,2023-07-26,0.53,0.0,1.87,-7.2
44,2023-10-03,-12.97,0.0,-11.63,-7.2
45,2023-11-12,14.51,0.0,15.85,-7.2
46,2024-07-11,12.32,0.0,13.66,-7.2
47,2024-07-29,-4.15,0.0,-2.81,-7.2
48,2024-08-10,12.66,0.0,14.0,-7.2
49,2024-10-22,2.48,0.0,3.82,-7.2
50,2024-11-18,9.72,0.0,11.06,-7.2
51,2025-01-22,6.64,0.0,7.98,-7.2
