,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,2005-09-03,0.0,0.0,15.22,1.4
1,2007-09-25,0.0,1.02,15.22,2.42
2,2011-01-07,2.1,-0.76,17.32,0.64
3,2013-11-12,0.6,1.22,15.82,2.62
4,2013-12-30,-5.36,-0.08,9.86,1.32
5,2019-01-04,-32.54,2.04,-17.32,3.44
6,2019-02-13,3.5,-0.42,18.72,0.98
7,2019-02-23,1.8,3.88,17.02,5.28
8,2019-03-02,-6.86,3.34,8.36,4.74
9,2019-03-05,-14.02,0.26,1.2,1.66
10,2019-03-25,1.92,3.14,17.14,4.54
11,2019-04-04,-21.48,4.9,-6.26,6.3
12,2019-04-19,-23.28,3.6,-8.06,5.0
13,2019-04-24,4.18,3.34,19.4,4.74
14,2019-04-29,-5.96,4.84,9.26,6.24
15,2019-05-29,3.58,5.52,18.8,6.92
16,2019-10-26,-33.72,3.14,-18.5,4.54
17,2019-12-10,-31.64,3.2,-16.42,4.6
18,2020-01-24,-28.66,1.7,-13.44,3.1
19,2020-02-13,3.88,-1.7,19.1,-0.3
20,2020-02-18,0.3,-0.14,15.52,1.26
21,2020-02-23,-31.04,0.4,-15.82,1.8
22,2020-03-14,2.08,-1.02,17.3,0.38
23,2020-04-23,-32.24,1.22,-17.02,2.62
24,2020-05-18,-4.18,0.62,11.04,2.02
25,2020-06-02,-7.76,1.98,7.46,3.38
26,2020-09-10,3.88,1.5,19.1,2.9
27,2020-09-25,2.42,0.88,17.64,2.28
28,2020-10-14,-31.34,3.6,-16.12,5.0
29,2020-12-01,-30.14,2.66,-14.92,4.06
30,2020-12-14,-34.62,1.02,-19.4,2.42
31,2020-12-19,3.28,1.56,18.5,2.96
32,2021-02-02,0.3,-1.5,15.52,-0.1
33,2021-02-12,-28.96,-0.42,-13.74,0.98
34,2021-03-19,0.3,-2.12,15.52,-0.72
35,2021-05-13,-24.78,2.72,-9.56,4.12
36,2021-07-17,3.58,4.08,18.8,5.48
37,2021-11-09,-0.6,2.86,14.62,4.26
38,2021-12-24,-9.84,0.62,5.38,2.02
39,2022-01-03,-34.02,2.72,-18.8,4.12
40,2022-02-14,-31.04,0.96,-15.82,2.36
41,2022-04-13,-28.96,0.54,-13.74,1.94
42,2022-08-26,-34.62,3.06,-19.4,4.46
43,2023-01-18,-23.58,1.9,-8.36,3.3
44,2023-02-25,0.9,-1.16,16.12,0.24
45,2023-03-13,-0.9,0.62,14.32,2.02
46,2023-04-13,2.1,0.14,17.32,1.54
47,2023-04-23,-24.48,0.96,-9.26,2.36
48,2023-05-13,3.28,-0.28,18.5,1.12
49,2023-06-07,-7.46,-0.62,7.76,0.78
50,2023-06-27,-30.44,3.54,-15.22,4.94
51,2023-09-15,-34.02,-0.48,-18.8,0.92
52,2023-11-04,2.98,1.22,18.2,2.62
53,2023-11-24,-34.02,1.16,-18.8,2.56
54,2024-01-13,-30.74,-1.1,-15.52,0.3
55,2024-02-20,-30.44,0.62,-15.22,2.02
56,2024-02-28,-13.72,1.3,1.5,2.7
57,2024-05-12,0.3,2.8,15.52,4.2
58,2024-05-17,1.2,1.22,16.42,2.62
59,2024-07-11,4.18,0.82,19.4,2.22
60,2024-08-22,-7.46,1.02,7.76,2.42
61,2024-09-14,-14.92,2.46,0.3,3.86
62,2024-12-03,-25.66,1.7,-10.44,3.1
63,2024-12-13,-32.84,0.96,-17.62,2.36
64,2024-12-18,-18.8,-0.76,-3.58,0.64
65,2025-01-21,0.6,0.48,15.82,1.88
66,2025-01-27,-31.34,-0.2,-16.12,1.2
67,2025-03-08,0.3,-0.96,15.52,0.44
68,2025-03-10,-22.98,-0.28,-7.76,1.12
69,2025-03-28,-33.42,1.02,-18.2,2.42
70,2025-04-11,-27.16,0.06,-11.94,1.46
71,2025-04-27,-34.62,2.72,-19.4,4.12
72,2025-07-06,1.2,1.7,16.42,3.1
73,2025-07-21,-4.48,-0.34,10.74,1.06
