Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,LE07,2000-03-14,-0.25,-5.04,-0.13,-2.58,-3.48,-1.96,46.68,1084.44,215.64
,LE07,2000-03-30,-0.47,-9.42,-0.22,-4.3,-6.44,-2.6,44.36,1087.4,215.0
,LE07,2002-03-20,-0.82,-16.44,-0.14,-2.84,-13.2,-2.08,37.08,1094.16,215.52
,LE07,2002-08-27,-0.81,-16.24,0.33,6.52,-16.4,3.16,28.64,1097.36,220.76
,LE07,2002-10-07,-4.02,-80.46,-0.02,-0.42,-26.28,-4.0,25.92,1107.24,213.6
,LT05,2005-05-23,-0.9,-18.06,0.08,1.54,-15.0,-5.64,38.84,1095.96,211.96
,LT05,2006-12-13,-0.6,-12.06,0.12,2.48,-6.08,0.52,41.6,1087.04,218.12
,LC08,2013-08-17,0.14,2.8,0.0,0.08,2.36,0.08,50.48,1078.44,217.68
,LC08,2013-10-04,-0.57,-11.34,0.03,0.52,-5.88,0.04,42.28,1086.84,217.64
,LC08,2014-03-29,-0.08,-1.58,-0.03,-0.52,0.16,-0.92,49.28,1080.8,216.68
,LC08,2014-04-30,-0.7,-13.9,0.46,9.1,-7.84,4.12,36.24,1088.8,221.72
,LC08,2014-09-30,-5.3,-106.0,0.34,6.86,-31.32,1.56,15.32,1112.28,219.16
,LC08,2014-11-01,-0.38,-7.68,-0.02,-0.42,1.44,-0.72,50.36,1079.52,216.88
,LC08,2016-07-24,-0.62,-12.46,0.5,10.04,-8.8,5.8,33.6,1089.76,223.4
,LC08,2017-01-25,-0.14,-2.9,-0.22,-4.3,-0.2,-8.28,56.28,1081.0,209.32
,LC08,2017-03-30,-0.76,-15.12,0.43,8.66,-8.92,4.24,35.04,1089.88,221.84
,LC08,2017-09-06,-0.27,-5.44,0.34,6.7,1.68,3.4,46.48,1079.28,221.0
,LC08,2017-12-27,0.08,1.58,-0.08,-1.54,2.8,-4.16,55.16,1078.12,213.44
,LC08,2018-04-25,0.87,17.36,-0.01,-0.18,16.56,-0.44,65.2,1064.4,217.16
,S2,2018-12-15,-0.1,-2.08,0.24,4.8,0.56,1.72,47.04,1080.4,219.32
,S2,2018-12-17,0.31,6.26,-0.22,-4.3,4.6,-2.28,55.08,1076.36,215.32
,S2,2018-12-27,-0.93,-18.68,0.06,1.28,-8.96,0.32,38.92,1089.92,217.92
,S2,2019-01-16,0.52,10.34,-0.17,-3.44,427.76,-1.96,477.92,653.2,215.64
,S2,2019-02-05,-0.37,-7.48,-0.44,-8.76,-2.0,-21.8,68.0,1082.96,195.8
,S2,2019-02-15,0.18,3.52,-0.4,-7.98,3.96,-22.32,74.48,1077.0,195.28
,S2,2019-02-18,0.1,1.98,-0.32,-6.44,1.8,-22.4,72.4,1079.16,195.2
,S2,2019-03-02,0.12,2.3,-0.59,-11.76,3.76,-13.8,65.76,1077.2,203.8
,S2,2019-03-05,-0.22,-4.32,-0.57,-11.34,-0.56,-11.28,58.92,1076.72,206.32
,S2,2019-04-16,0.87,17.46,-0.2,-3.94,17.16,-2.4,67.76,1063.8,215.2
,S2,2019-04-19,0.12,2.4,-0.0,-0.08,8.88,-0.48,57.56,1071.88,217.12
,S2,2019-05-04,-0.09,-1.78,-0.37,-7.38,0.28,-4.08,52.56,1056.12,213.52
,S2,2019-08-04,-0.84,-16.74,0.4,7.98,-9.4,5.24,33.56,1090.36,222.84
,S2,2019-08-07,-0.61,-12.16,0.25,5.06,-0.08,2.6,45.52,1081.04,220.2
,LC08,2019-09-19,-0.22,-4.42,0.36,7.22,-1.36,3.52,43.32,1082.32,221.12
,S2,2019-09-21,-0.4,-8.1,-0.06,-1.12,-1.52,-0.84,47.52,1082.4,216.76
,S2,2019-10-08,0.57,11.34,-0.17,-3.44,19.28,-2.08,69.56,1061.68,215.52
,S2,2019-12-12,-0.83,-16.54,-0.26,-5.24,15.88,-11.36,75.44,1065.08,206.24
,S2,2020-01-11,-0.59,-11.86,-0.33,-6.6,-3.8,-22.4,66.8,1084.76,195.2
,S2,2020-02-10,-0.72,-14.4,-0.37,-7.46,-1.64,-33.84,80.4,1082.6,183.76
,S2,2020-02-23,-0.76,-15.22,-0.36,-7.3,-5.4,-31.4,74.2,1086.36,186.2
,S2,2020-02-25,-0.88,-17.66,-0.48,-9.7,-6.68,-30.96,72.48,1087.64,186.64
,S2,2020-04-10,-0.83,-16.54,-0.22,-4.3,-6.32,-15.52,57.4,1087.28,202.08
,S2,2020-06-04,-0.0,-0.06,0.0,0.08,1.92,-0.08,50.2,1079.04,217.52
,S2,2020-09-02,-0.81,-16.14,-0.07,-1.46,-6.72,-0.92,42.4,1087.68,216.68
,S2,2020-09-07,-0.98,-19.6,0.18,3.52,-12.4,2.04,33.76,1093.36,219.64
,S2,2020-09-20,-1.56,-31.12,0.21,4.12,-14.32,2.52,31.36,1095.28,220.12
,S2,2020-09-25,-0.05,-1.06,0.02,0.42,2.44,0.04,50.6,1078.52,217.64
,S2,2020-09-30,-0.38,-7.68,-0.2,-4.04,-1.16,-2.12,49.16,1082.12,215.48
,S2,2020-10-02,-0.72,-14.4,-0.22,-4.3,-5.08,-2.68,45.8,1086.04,214.92
,S2,2020-10-17,-0.86,-17.26,0.08,1.64,-6.68,0.36,41.16,1087.64,217.96
,S2,2020-12-01,-0.82,-16.34,-0.12,-2.48,-6.28,-1.6,43.52,1087.24,216.0
,S2,2020-12-14,0.1,1.98,0.16,3.18,9.6,0.76,57.04,1071.36,218.36
,S2,2020-12-16,-0.91,-18.16,0.06,1.28,-7.56,0.4,40.24,1088.52,218.0
,S2,2020-12-31,-0.67,-13.38,-0.1,-2.06,-1.4,-6.64,53.44,1082.36,210.96
,S2,2021-01-10,0.48,9.62,-0.23,-4.64,40.08,-13.28,101.56,1040.88,204.32
,S2,2021-01-15,-1.51,-30.14,-0.15,-2.92,-12.92,-6.52,41.8,1093.88,211.08
,S2,2021-01-30,-0.95,-19.08,-0.42,-8.42,-9.2,-11.72,50.72,1090.16,205.88
,S2,2021-02-19,-0.17,-3.4,-0.26,-5.24,1.24,-6.88,56.32,1079.72,210.72
,S2,2021-03-11,0.15,3.0,-0.2,-4.04,2.76,-2.36,53.32,1078.2,215.24
,LC08,2021-04-01,-0.76,-15.22,0.51,10.22,-8.76,5.08,34.36,1089.72,222.68
,LC08,2021-07-22,-0.08,-1.58,0.35,6.96,-0.4,3.4,44.4,1081.36,221.0
,S2,2021-08-03,-0.58,-11.56,0.38,7.56,-1.8,3.68,42.72,1082.76,221.28
,LC08,2021-09-01,-0.24,-4.9,0.41,8.24,-0.24,4.72,43.24,1081.08,222.32
,S2,2021-09-17,-0.19,-3.82,-0.07,-1.46,5.96,-1.04,55.2,1075.0,216.56
,LC08,2021-09-24,-0.95,-18.98,0.49,9.78,-13.04,7.0,28.16,1094.0,224.6
,S2,2021-11-06,-0.98,-19.6,0.21,4.12,-8.96,2.56,36.68,1089.92,220.16
,LC08,2021-12-29,-0.46,-9.1,-0.01,-0.26,-4.8,-0.64,44.04,1085.76,216.96
,LC09,2022-01-22,-1.86,-37.3,0.51,10.22,-17.32,5.64,25.24,1098.28,223.24
,LC09,2022-02-16,-0.66,-13.18,0.47,9.36,-6.32,5.24,36.64,1087.12,222.84
,S2,2022-02-22,-1.62,-32.4,0.1,1.98,-14.24,0.84,33.12,1095.2,218.44
,LC09,2022-03-11,-0.85,-16.94,0.3,6.0,-9.08,3.04,36.08,1090.04,220.64
