,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,2005-03-11,,,,
1,2015-04-24,,,,
2,2016-03-25,,,,
3,2016-11-20,,,,
4,2017-08-19,,,,
5,2017-09-04,,,,
6,2018-01-10,,,,
7,2018-12-30,,,,
8,2019-01-04,,,,
9,2019-01-24,,,,
10,2019-02-13,,,,
11,2019-04-14,,,-525.96,
12,2019-04-24,,,,
13,2019-05-14,,,,
14,2019-07-08,,,,
15,2019-09-06,,,,
16,2019-09-21,,,,
17,2019-10-26,,,-1034.3,
18,2019-10-31,,,,
19,2019-11-20,,,-484.2,
20,2019-12-30,,,,
21,2020-01-19,,,,
22,2020-01-29,,,-655.04,
23,2020-02-08,,,,
24,2020-02-23,,,,
25,2020-04-21,,,,
26,2020-05-03,,,,
27,2020-05-08,,,-502.22,
28,2020-06-12,,,,
29,2020-08-31,,,,
30,2020-11-14,,,-841.44,
31,2020-12-14,,,,
32,2021-01-03,,,,
33,2021-01-23,,,-840.0,
34,2021-02-12,,,,
35,2021-04-24,,,,
36,2021-04-28,,,,
37,2021-05-03,,,-614.78,
38,2021-05-18,,,-841.44,
39,2021-05-26,,,-820.56,
40,2021-07-27,,,,
41,2021-12-24,,,,
42,2022-03-26,,,,
43,2022-08-09,,,,
44,2023-03-19,,,,
45,2023-03-24,,,,
46,2023-05-13,,,-590.38,
47,2023-08-28,,,,
48,2023-09-15,,,-464.52,
49,2023-09-20,,,,
50,2024-04-17,,,,
51,2024-04-22,,,,
52,2024-05-17,,,,
53,2024-05-22,,,,
