Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,LE07,1999-10-04,0.37,7.42,-2.46,-49.3,0.32,-45.76,56.64,1178.32,39.84
,LE07,2000-02-09,0.2,4.0,-2.46,-49.3,-2.48,-40.04,48.12,1181.12,45.56
,LE07,2000-04-13,0.37,7.42,-2.46,-49.3,0.32,-13.88,24.76,1178.32,71.72
,LE07,2000-04-29,0.37,7.42,-2.46,-49.3,0.12,-19.12,29.8,1178.52,66.48
,LE07,2002-01-22,0.26,5.14,-2.46,-49.3,0.2,-20.68,31.44,1178.44,64.92
,LE07,2003-04-22,0.26,5.14,-2.46,-49.3,-0.88,-25.88,35.56,1179.52,59.72
,LE07,2003-05-08,0.2,4.0,-2.46,-49.3,-0.96,-30.28,39.88,1179.6,55.32
,LT05,2003-07-28,0.43,8.58,-2.46,-49.3,-1.2,-16.2,25.56,1179.84,69.4
,LT05,2003-08-29,0.26,5.14,-2.46,-49.3,203.76,-22.32,236.64,974.88,63.28
,LT05,2003-12-19,0.26,5.14,-2.46,-49.3,0.24,-36.56,47.36,1178.4,49.04
,LT05,2004-11-19,0.26,5.14,-2.46,-49.3,0.16,-29.84,40.56,1178.48,55.76
,LT05,2005-01-13,0.2,4.0,-2.46,-49.3,-3.6,-22.88,29.84,1182.24,62.72
,LT05,2005-04-03,0.37,7.42,-2.46,-49.3,0.32,-47.76,58.64,1178.32,37.84
,LT05,2005-07-08,0.2,4.0,-2.71,-54.14,-2.24,-18.56,26.88,1180.88,67.04
,LT05,2005-08-25,0.26,5.14,-4.24,-84.74,-0.4,-22.24,32.4,1179.04,63.36
,LT05,2005-09-26,0.26,5.14,-2.54,-50.9,0.2,-37.88,48.64,1178.44,47.72
,LT05,2006-02-10,0.2,4.0,-2.46,-49.3,-0.28,-16.28,26.56,1178.92,69.32
,LT05,2006-03-14,0.43,8.58,-2.46,-49.3,423.04,-12.8,446.4,755.6,72.8
,LT05,2006-07-27,0.09,1.72,-2.46,-49.3,-2.0,-19.68,28.24,1180.64,65.92
,LT05,2006-08-28,0.2,4.0,-2.54,-50.9,-1.52,-22.0,31.04,1180.16,63.6
,LT05,2006-12-02,-0.26,-5.14,-2.46,-49.3,8.2,-19.76,38.52,1170.44,65.84
,LT05,2006-12-11,-745.22,-14904.44,-2.46,-49.3,39.68,-12.64,62.88,1138.96,72.96
,LT05,2007-02-13,0.26,5.14,-2.46,-49.3,0.12,-20.96,31.64,1178.52,64.64
,LT05,2007-09-25,0.26,5.14,-2.46,-49.3,0.0,-27.68,38.24,1178.64,57.92
,LC08,2013-04-25,0.26,5.14,-2.46,-49.3,-0.08,-7.92,18.4,1178.72,77.68
,LC08,2013-05-20,0.49,9.72,-2.46,-49.3,0.68,-9.88,21.12,1177.96,75.72
,LC08,2014-02-23,0.37,7.42,-2.46,-49.3,0.4,-6.92,17.88,1178.24,78.68
,LC08,2014-03-27,0.54,10.86,-2.46,-49.3,7.72,-6.84,25.12,1170.84,78.76
,LC08,2014-04-12,0.49,9.72,-2.46,-49.3,0.6,-6.92,18.08,1178.04,78.68
,LC08,2014-05-14,0.37,7.42,-2.46,-49.3,0.04,-8.52,19.12,1178.6,77.08
,LC08,2015-02-19,0.43,8.58,-2.46,-49.3,-0.32,-4.36,14.6,1178.92,81.24
