Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,S2,2019-03-23,,,0.24,4.74,0.6,0.2,16.2,52.88,385.28
,S2,2019-06-26,,,0.18,3.68,6.84,0.2,22.44,46.64,385.28
,S2,2020-08-04,,,-7.0,-140.0,0.72,-11.76,28.28,52.76,373.32
,S2,2020-08-29,,,-7.0,-140.0,2.48,-11.76,30.04,51.0,373.32
,S2,2020-09-03,,,-7.0,-140.0,0.12,-12.32,28.24,53.36,372.76
,S2,2021-04-16,,,-7.0,-140.0,1.2,-11.88,28.88,52.28,373.2
,S2,2021-04-26,,,-7.0,-140.0,-3.76,-27.4,39.44,57.24,357.68
,S2,2021-05-01,,,-7.0,-140.0,3.44,-11.6,30.84,50.04,373.48
,S2,2021-05-26,,,-0.87,-17.36,-4.08,-7.44,19.16,57.56,377.64
,S2,2021-06-30,,,-6.25,-124.92,5.44,-8.32,29.56,48.04,376.76
,S2,2022-03-27,,,-7.0,-140.0,2.4,-11.76,29.96,51.08,373.32
,S2,2022-05-01,,,-7.0,-140.0,1.44,-11.72,28.96,52.04,373.36
,S2,2022-05-06,,,-7.0,-140.0,3.12,-11.72,30.64,50.36,373.36
,S2,2022-05-11,,,-7.0,-140.0,3.6,-23.04,42.44,49.88,362.04
,S2,2022-06-15,,,-0.58,-11.58,-1.92,-1.28,15.16,55.4,383.8
,S2,2022-08-04,,,-0.68,-13.68,5.48,-1.44,22.72,48.0,383.64
,LC08,2022-09-09,,,-0.82,-16.32,-2.76,-25.64,38.68,56.24,359.44
,S2,2023-03-07,,,-2.48,-49.56,0.52,-4.48,20.8,52.96,380.6
,S2,2023-07-20,,,-0.74,-14.74,0.24,-2.2,18.24,53.24,382.88
,S2,2023-07-30,,,-0.82,-16.32,2.2,-2.2,20.2,51.28,382.88
,S2,2023-09-18,,,-0.82,-16.32,0.92,-2.2,18.92,52.56,382.88
,S2,2023-10-03,,,-0.87,-17.36,2.08,-2.56,20.44,51.4,382.52
,S2,2024-05-10,,,-0.84,-16.84,14.84,-2.44,33.08,38.64,382.64
,LC09,2024-05-17,,,-0.87,-17.36,1.48,-3.04,20.32,52.0,382.04
,S2,2024-07-04,,,-0.74,-14.74,2.04,-2.28,20.12,51.44,382.8
,LC08,2024-08-29,,,-0.9,-17.9,1.12,-2.68,19.6,52.36,382.4
