,date,sand_area_percentage_change,water_area_percentage_change,vegetation_area_percentage_change
0,1999-09-27,0.0,0.0,0.0
1,1999-12-16,0.04,-0.02,-0.02
2,2000-11-09,-0.06,-0.01,0.07
3,2001-01-12,0.01,0.01,-0.02
4,2001-01-19,0.14,0.0,-0.14
5,2001-09-25,0.18,-0.32,0.14
6,2002-01-22,-0.2,0.31,-0.11
7,2002-08-18,-0.13,0.01,0.12
8,2002-09-12,0.22,-0.3,0.08
9,2002-10-14,-0.1,0.3,-0.2
10,2002-10-30,0.01,-0.0,-0.01
11,2003-03-14,0.01,0.01,-0.02
12,2003-04-08,-0.11,-0.0,0.11
13,2003-09-30,0.09,-0.01,-0.08
14,2003-10-16,-0.09,-0.0,0.09
15,2004-04-09,0.04,0.0,-0.04
16,2005-03-04,-0.08,0.01,0.07
17,2005-03-20,0.06,-0.02,-0.04
18,2005-04-28,-0.02,0.02,0.0
19,2006-01-25,0.23,-0.02,-0.21
20,2006-12-11,-0.2,-0.0,0.21
21,2007-01-05,-0.03,0.0,0.03
22,2010-02-05,0.07,0.0,-0.07
23,2010-02-21,-0.02,0.01,0.01
24,2010-10-12,-0.0,0.0,0.0
25,2011-02-17,-0.52,0.34,0.19
26,2011-03-12,0.53,-0.35,-0.18
27,2011-03-28,-0.01,0.0,0.01
28,2014-01-31,-0.35,0.18,0.17
29,2014-02-16,0.22,-0.18,-0.04
30,2014-03-20,0.18,-0.0,-0.18
31,2014-04-05,0.6,-0.67,0.07
32,2014-08-27,-0.83,0.67,0.16
33,2014-09-28,0.17,-0.0,-0.17
34,2014-10-14,0.32,-0.34,0.02
35,2015-02-19,-0.46,0.34,0.12
36,2015-03-07,0.04,-0.0,-0.04
37,2015-09-08,25.9,-25.86,-0.04
38,2015-09-24,-25.88,25.85,0.03
39,2015-12-04,0.43,-0.3,-0.13
40,2016-02-06,-0.38,0.32,0.06
41,2016-03-09,0.91,-1.05,0.15
42,2016-04-10,-0.93,1.04,-0.1
43,2016-05-05,-0.41,0.24,0.17
44,2016-05-12,0.7,-0.57,-0.12
45,2016-05-28,-0.3,0.34,-0.04
46,2016-07-08,-0.05,-0.0,0.05
47,2017-01-23,0.07,-0.01,-0.06
48,2017-02-08,0.0,0.02,-0.02
49,2017-04-29,-0.11,-0.01,0.12
50,2017-10-22,0.64,-0.58,-0.06
51,2018-02-11,-0.48,0.58,-0.1
52,2018-05-18,-0.16,0.0,0.15
53,2018-09-07,-0.01,-0.0,0.01
54,2018-09-23,0.02,0.01,-0.02
55,2018-10-18,0.42,-0.34,-0.08
56,2018-11-19,-0.37,0.33,0.04
