Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,LE07,1999-09-27,-118.58,-2371.64,-0.74,-14.82,-12.24,-24.8,27.32,1432.52,33.84
,LE07,1999-11-14,-117.52,-2350.4,-0.82,-16.32,-11.84,-21.56,24.48,1432.12,37.08
,LE07,1999-12-16,-0.04,-0.86,-0.57,-11.4,-0.24,-16.32,30.84,1420.52,42.32
,LE07,2000-03-21,-117.62,-2352.5,-0.52,-10.44,-12.48,-16.88,19.16,1432.76,41.76
,LE07,2000-09-13,-117.58,-2351.58,-0.41,-8.26,-12.2,-18.44,21.0,1432.48,40.2
,LE07,2000-10-15,-0.84,-16.72,-0.71,-14.12,690.96,-21.84,727.56,729.32,36.8
,LE07,2000-10-31,-117.55,-2350.92,-0.82,-16.46,-12.0,-23.92,26.68,1432.28,34.72
,LE07,2000-11-16,-0.48,-9.5,-0.6,-12.08,-4.96,-18.76,28.56,1425.24,39.88
,LE07,2001-01-19,-0.44,-8.86,-0.88,-17.68,-4.96,-29.8,39.6,1425.24,28.84
,LE07,2001-02-20,-118.56,-2371.24,-0.88,-17.68,-12.12,-29.8,32.44,1432.4,28.84
,LE07,2001-06-28,0.15,3.08,-0.58,-11.68,3.6,-22.6,40.96,1416.68,36.04
,LE07,2001-12-21,-0.73,-14.62,-0.76,-15.22,-7.96,-19.52,26.32,1428.24,39.12
,LE07,2002-01-22,0.13,2.68,-0.8,-16.04,1.72,-22.52,39.0,1418.56,36.12
,LE07,2002-03-27,-117.59,-2351.84,-0.36,-7.16,-12.28,-14.6,17.08,1432.56,44.04
,LT05,2003-09-14,-117.5,-2350.0,-0.71,-14.26,-11.72,-27.32,30.36,1432.0,31.32
,LT05,2003-10-16,-0.68,-13.7,-0.76,-15.22,-7.56,-28.28,35.48,1427.84,30.36
,LT05,2003-11-17,-0.67,-13.44,-0.39,-7.72,-7.2,-17.4,24.96,1427.48,41.24
,LT05,2003-12-03,-0.67,-13.32,-0.34,-6.76,-7.64,-17.0,24.12,1427.92,41.64
,LT05,2004-02-05,-117.61,-2352.24,-0.73,-14.68,-12.4,-22.68,25.04,1432.68,35.96
,LT05,2004-04-09,-0.23,-4.66,-0.69,-13.72,0.96,-23.0,38.72,1419.32,35.64
,LT05,2004-10-18,-0.69,-13.84,-0.12,-2.38,-7.68,-11.68,18.76,1427.96,46.96
,LT05,2005-02-23,-117.61,-2352.24,-0.55,-10.98,-12.4,-16.6,18.96,1432.68,42.04
,LT05,2005-03-11,-118.61,-2372.18,-0.62,-12.5,-12.4,-20.84,23.2,1432.68,37.8
,LT05,2005-03-27,-117.55,-2350.92,-0.26,-5.26,-12.0,-16.72,19.48,1432.28,41.92
,LT05,2006-02-26,-117.62,-2352.5,-0.63,-12.62,-12.48,-23.28,25.56,1432.76,35.36
