,date,sand_area_percentage_change,water_area_percentage_change,vegetation_area_percentage_change
0,1999-09-27,0.0,0.0,0.0
1,1999-11-30,3.81,-3.21,-0.6
2,2000-09-13,-5.25,4.72,0.52
3,2001-01-19,4.32,-3.85,-0.47
4,2001-11-03,23.99,-24.5,0.52
5,2003-09-14,-25.3,25.28,0.02
6,2003-10-16,2.19,-1.65,-0.54
7,2003-12-03,-0.39,0.67,-0.27
8,2004-01-04,-0.33,0.67,-0.35
9,2004-10-18,-1.93,1.07,0.87
10,2005-01-06,1.99,-1.89,-0.1
11,2005-02-23,-2.53,1.92,0.6
12,2005-03-11,-1.11,1.15,-0.03
13,2006-01-25,4.36,-3.05,-1.31
14,2006-02-26,-4.09,3.28,0.81
15,2006-09-22,0.74,-1.24,0.5
16,2007-09-09,0.8,-1.15,0.34
17,2008-02-16,2.07,-1.23,-0.85
18,2008-12-16,0.94,0.45,-1.4
19,2009-02-02,0.1,-0.65,0.54
20,2010-02-21,0.42,0.0,-0.42
21,2010-10-03,-0.48,-0.01,0.49
22,2010-11-04,-4.83,3.18,1.65
23,2011-01-23,2.33,-0.57,-1.76
24,2011-02-08,2.84,-2.6,-0.25
25,2013-09-09,-2.59,0.21,2.38
26,2013-09-25,0.08,-0.03,-0.05
27,2013-11-28,0.51,-0.18,-0.33
28,2013-12-14,-0.02,0.0,0.02
29,2013-12-30,-1.69,1.49,0.2
30,2014-01-15,-0.58,0.5,0.08
31,2014-01-31,-1.0,1.45,-0.45
32,2014-03-04,2.77,-3.2,0.43
33,2014-05-07,-0.04,-0.25,0.29
34,2014-09-28,-0.16,0.29,-0.12
35,2014-10-14,0.42,-0.29,-0.13
36,2014-11-15,0.22,0.01,-0.23
37,2015-01-02,-0.8,0.63,0.17
38,2015-03-07,-1.99,1.76,0.23
39,2015-12-04,2.72,-2.42,-0.3
40,2016-01-05,0.32,0.02,-0.33
41,2016-03-09,-2.9,2.78,0.12
42,2016-11-20,2.34,-2.81,0.48
43,2016-12-22,0.1,0.01,-0.11
44,2017-01-23,-0.03,0.02,0.01
45,2017-11-07,-0.55,0.26,0.3
46,2017-12-09,0.7,-0.28,-0.43
47,2018-09-07,-0.58,0.02,0.56
48,2019-01-04,-0.9,1.35,-0.45
49,2019-01-14,1.49,-1.35,-0.14
50,2019-01-19,-1.21,1.25,-0.04
51,2019-02-14,1.46,-1.45,-0.01
52,2019-03-20,-0.39,0.29,0.11
53,2019-03-30,-0.04,-0.09,0.12
54,2019-04-19,-0.49,0.62,-0.13
55,2019-09-10,0.23,-0.62,0.39
56,2019-09-21,0.35,-0.24,-0.11
57,2019-10-21,0.03,-0.12,0.09
58,2019-10-28,-2.52,2.88,-0.36
59,2019-11-10,1.96,-2.25,0.3
60,2019-11-29,0.17,-0.27,0.09
61,2019-12-05,1.04,-0.75,-0.29
62,2019-12-10,-0.77,0.75,0.01
63,2019-12-31,1.82,0.0,-1.82
64,2020-01-19,-1.64,-0.04,1.68
65,2020-02-18,-0.14,0.04,0.1
66,2020-02-23,0.43,-0.46,0.03
67,2020-02-28,-0.41,0.46,-0.05
68,2020-03-04,0.01,-0.01,-0.0
69,2020-03-09,-2.73,2.77,-0.05
70,2020-03-24,1.67,-1.74,0.08
71,2020-03-29,1.01,-1.02,0.01
72,2020-04-08,-1.51,1.41,0.1
73,2020-04-13,1.31,-1.4,0.09
74,2020-08-11,0.01,-0.01,0.01
75,2020-08-27,-0.3,-0.0,0.31
76,2020-09-10,0.06,0.01,-0.07
77,2020-09-15,-0.32,0.27,0.06
78,2020-10-20,0.32,-0.05,-0.28
79,2020-11-14,-3.24,2.96,0.28
80,2020-12-14,0.93,-0.8,-0.13
81,2021-01-28,0.81,-0.44,-0.37
82,2021-02-02,2.18,-2.25,0.08
83,2021-02-07,-0.26,0.31,-0.05
84,2021-02-17,-0.08,-0.0,0.08
85,2021-03-07,-0.13,0.0,0.13
86,2021-03-14,0.11,0.0,-0.11
87,2021-03-19,0.05,0.0,-0.05
88,2021-04-03,-0.09,-0.03,0.13
89,2021-04-28,-1.77,1.44,0.33
90,2021-09-10,0.73,-0.63,-0.1
91,2021-09-25,0.97,-0.78,-0.2
92,2021-09-30,-0.19,-0.02,0.21
93,2021-10-01,0.18,0.02,-0.2
94,2021-10-30,0.44,-0.59,0.15
95,2021-11-18,-1.65,1.72,-0.07
96,2021-11-24,1.49,-1.12,-0.36
97,2022-01-29,-0.13,0.0,0.13
98,2022-02-06,-1.16,1.09,0.07
99,2022-02-07,0.12,-0.05,-0.07
100,2022-02-17,0.01,-0.07,0.06
101,2022-02-22,1.03,-0.97,-0.06
102,2022-05-05,-0.35,-0.0,0.35
103,2022-10-05,-0.08,0.0,0.08
104,2022-10-25,-2.34,2.44,-0.1
105,2022-11-04,2.37,-2.44,0.07
106,2022-11-21,-0.68,0.6,0.07
107,2022-12-04,0.69,-0.6,-0.08
108,2022-12-24,-2.48,2.91,-0.43
109,2022-12-29,3.05,-2.91,-0.14
110,2022-12-31,-0.16,-0.0,0.16
111,2023-01-23,10.28,-10.55,0.27
112,2023-03-13,-10.48,10.55,-0.07
113,2023-07-02,-2.21,1.81,0.4
114,2023-08-20,1.89,-1.81,-0.08
115,2023-08-26,0.18,-0.03,-0.16
116,2023-08-31,-1.64,1.54,0.1
117,2023-10-05,1.65,-1.54,-0.11
118,2023-10-10,-0.06,0.02,0.03
119,2023-10-30,-2.1,2.11,-0.02
120,2023-11-14,0.04,-0.04,0.0
121,2023-11-24,1.91,-1.86,-0.05
122,2023-12-10,0.07,0.04,-0.11
123,2023-12-19,0.89,-0.49,-0.4
124,2024-01-08,-0.22,0.24,-0.03
125,2024-01-28,-0.52,0.27,0.25
126,2024-02-07,0.25,-0.27,0.03
127,2024-03-13,-0.48,0.26,0.23
128,2024-03-28,0.22,-0.26,0.04
129,2024-04-17,-0.01,0.0,0.01
130,2024-09-23,-0.12,-0.02,0.13
131,2024-09-24,0.09,-0.01,-0.08
