,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,1999-08-28,0.0,0.0,11.07,-14.86
1,1999-12-09,-12.03,1.3,-0.96,-13.56
2,1999-12-25,-23.86,0.84,-12.79,-14.02
3,2001-01-21,-6.01,0.36,5.06,-14.5
4,2001-03-10,-12.66,0.12,-1.59,-14.74
5,2001-09-09,-7.32,-0.12,3.75,-14.98
6,2001-09-18,3.36,0.24,14.43,-14.62
7,2001-09-25,-11.48,0.12,-0.41,-14.74
8,2001-11-05,-17.37,0.24,-6.3,-14.62
9,2002-02-09,0.67,0.6,11.74,-14.26
10,2002-03-04,-17.14,0.36,-6.07,-14.5
11,2002-04-14,-2.52,0.6,8.55,-14.26
12,2002-10-14,-4.59,0.12,6.48,-14.74
13,2002-11-08,-27.51,0.6,-16.44,-14.26
14,2003-01-02,-0.37,0.36,10.7,-14.5
15,2003-02-03,-18.37,0.36,-7.3,-14.5
16,2003-02-28,-1.65,0.94,9.42,-13.92
17,2003-03-23,-16.17,0.6,-5.1,-14.26
18,2003-12-21,5.47,1.3,16.54,-13.56
19,2004-05-04,9.53,-0.72,20.6,-15.58
20,2004-09-25,-0.73,-0.96,10.34,-15.82
21,2004-12-07,-0.36,-0.12,10.71,-14.98
22,2005-01-15,-14.38,-1.32,-3.31,-16.18
23,2005-03-04,-10.46,0.0,0.61,-14.86
24,2005-04-05,-0.66,-0.84,10.41,-15.7
25,2005-06-24,-7.7,18.74,3.37,3.88
26,2005-09-28,0.29,0.12,11.36,-14.74
27,2005-11-08,-7.57,0.24,3.5,-14.62
28,2006-04-17,-6.45,-0.6,4.62,-15.46
29,2006-10-10,-18.0,-1.08,-6.93,-15.94
30,2006-12-13,54.17,7.28,65.24,-7.58
31,2011-01-09,-10.47,-1.56,0.6,-16.42
32,2013-11-21,-4.34,2.98,6.73,-11.88
33,2014-01-17,-2.22,1.06,8.85,-13.8
34,2014-01-24,35.12,0.84,46.19,-14.02
35,2014-03-06,32.86,0.84,43.93,-14.02
36,2014-09-30,-8.73,2.62,2.34,-12.24
37,2015-01-27,-6.04,2.98,5.03,-11.88
38,2015-02-12,-4.63,1.66,6.44,-13.2
39,2015-07-31,9.32,2.38,20.39,-12.48
40,2016-01-23,12.35,8.84,23.42,-6.02
41,2016-03-02,-0.4,0.0,10.67,-14.86
42,2017-02-10,6.0,12.18,17.07,-2.68
43,2017-08-21,15.01,6.44,26.08,-8.42
44,2017-11-16,10.64,15.52,21.71,0.66
45,2018-12-14,39.9,12.54,50.97,-2.32
46,2018-12-15,40.53,9.54,51.6,-5.32
47,2019-01-16,8.47,9.78,19.54,-5.08
48,2019-01-19,10.12,12.54,21.19,-2.32
49,2019-01-21,2.14,11.82,13.21,-3.04
50,2019-01-24,-3.56,10.62,7.51,-4.24
51,2019-02-08,5.1,8.24,16.17,-6.62
52,2019-02-10,35.99,7.76,47.06,-7.1
53,2019-02-13,36.23,6.92,47.3,-7.94
54,2019-02-15,12.36,6.56,23.43,-8.3
55,2019-02-18,11.96,6.2,23.03,-8.66
56,2019-02-25,27.62,6.56,38.69,-8.3
57,2019-02-28,42.38,7.64,53.45,-7.22
58,2019-03-02,20.14,8.94,31.21,-5.92
59,2019-03-17,21.02,9.06,32.09,-5.8
60,2019-03-27,21.37,16.48,32.44,1.62
61,2019-03-30,34.77,10.26,45.84,-4.6
62,2019-04-09,10.85,10.14,21.92,-4.72
63,2019-04-19,21.11,11.94,32.18,-2.92
64,2019-04-26,-0.4,10.38,10.67,-4.48
65,2019-04-29,1.44,9.06,12.51,-5.8
66,2019-05-23,6.03,9.42,17.1,-5.44
67,2019-06-18,13.47,13.84,24.54,-1.02
68,2019-07-26,-2.46,10.02,8.61,-4.84
69,2019-08-07,34.34,13.48,45.41,-1.38
70,2019-08-17,11.1,14.8,22.17,-0.06
71,2019-09-11,5.77,12.78,16.84,-2.08
72,2019-10-03,-6.9,13.0,4.17,-1.86
73,2019-10-08,12.38,13.0,23.45,-1.86
74,2019-10-21,-6.54,13.36,4.53,-1.5
75,2019-10-26,18.55,15.4,29.62,0.54
76,2019-10-31,-9.95,11.94,1.12,-2.92
77,2019-11-02,-4.63,15.16,6.44,0.3
78,2019-11-22,15.02,14.08,26.09,-0.78
79,2019-12-05,0.32,18.14,11.39,3.28
80,2019-12-10,11.55,17.66,22.62,2.8
81,2019-12-20,-0.89,14.68,10.18,-0.18
82,2019-12-25,10.56,18.5,21.63,3.64
83,2019-12-30,-5.11,13.96,5.96,-0.9
84,2020-01-11,2.51,12.78,13.58,-2.08
85,2020-01-29,-5.89,13.84,5.18,-1.02
86,2020-02-05,11.01,12.06,22.08,-2.8
87,2020-02-08,7.68,10.74,18.75,-4.12
88,2020-02-13,-7.35,8.36,3.72,-6.5
89,2020-02-25,7.07,14.44,18.14,-0.42
90,2020-03-04,4.71,16.36,15.78,1.5
91,2020-03-11,1.69,16.94,12.76,2.08
92,2020-03-14,-6.97,16.6,4.1,1.74
93,2020-03-26,-5.48,19.22,5.59,4.36
94,2020-04-03,10.4,12.42,21.47,-2.44
95,2020-04-08,8.21,11.58,19.28,-3.28
96,2020-04-10,9.21,12.06,20.28,-2.8
97,2020-04-23,12.8,16.48,23.87,1.62
98,2020-04-25,6.94,11.22,18.01,-3.64
99,2020-04-28,5.13,11.1,16.2,-3.76
100,2020-06-12,-2.54,18.02,8.53,3.16
101,2020-07-29,39.24,13.84,50.31,-1.02
102,2020-08-16,19.61,17.54,30.68,2.68
103,2020-08-31,11.32,18.98,22.39,4.12
104,2020-09-20,16.8,21.84,27.87,6.98
105,2020-09-25,-2.27,15.52,8.8,0.66
106,2020-10-15,14.43,14.2,25.5,-0.66
107,2020-11-14,8.88,16.0,19.95,1.14
108,2020-12-14,2.96,15.04,14.03,0.18
109,2020-12-31,1.24,19.82,12.31,4.96
110,2021-01-05,26.73,15.16,37.8,0.3
111,2021-01-08,6.56,16.36,17.63,1.5
112,2021-01-13,1.01,14.08,12.08,-0.78
113,2021-01-30,4.03,14.68,15.1,-0.18
114,2021-02-02,-8.0,12.66,3.07,-2.2
115,2021-02-07,14.08,13.96,25.15,-0.9
116,2021-02-12,1.47,12.06,12.54,-2.8
117,2021-02-17,-3.73,13.6,7.34,-1.26
118,2021-02-19,31.52,13.72,42.59,-1.14
119,2021-02-22,10.3,11.1,21.37,-3.76
120,2021-02-27,18.32,14.92,29.39,0.06
121,2021-03-06,-3.28,18.86,7.79,4.0
122,2021-03-16,-1.32,15.4,9.75,0.54
123,2021-03-24,14.4,14.92,25.47,0.06
