,date,sand_area_percentage_change,water_area_percentage_change,vegetation_area_percentage_change
0,1999-11-19,0.0,0.0,0.0
1,2003-01-14,0.07,-0.28,0.22
2,2007-01-01,-0.56,0.43,0.13
3,2007-02-11,0.31,-0.24,-0.08
4,2011-01-21,-0.22,0.01,0.21
5,2013-11-10,1.49,-1.49,0.0
6,2013-11-26,1.03,-0.98,-0.05
7,2014-01-13,-3.28,3.22,0.06
8,2014-02-05,3.49,-3.45,-0.04
9,2014-04-10,-0.94,0.89,0.05
10,2014-10-03,-2.11,2.21,-0.1
11,2014-11-04,0.54,-0.61,0.07
12,2014-12-31,-0.58,0.56,0.02
13,2015-01-23,2.7,-2.68,-0.03
14,2015-02-08,-1.63,1.62,0.01
15,2015-09-20,0.97,-0.98,0.01
16,2015-12-18,-0.03,0.02,0.01
17,2016-01-03,-0.27,0.28,-0.01
18,2016-10-08,-0.44,0.42,0.02
19,2016-11-09,-0.59,0.6,-0.01
20,2017-03-17,1.87,-1.87,0.0
21,2017-09-18,-2.3,2.28,0.02
22,2017-10-04,-0.12,0.13,-0.02
23,2017-11-12,1.96,-1.94,-0.02
24,2018-03-04,-0.67,0.78,-0.11
25,2018-10-14,1.07,-1.1,0.03
26,2018-12-23,-2.21,2.21,-0.01
27,2019-02-19,-0.12,0.04,0.08
28,2019-02-24,3.66,-3.66,0.0
29,2019-03-01,0.99,-1.02,0.03
30,2019-03-07,-4.63,4.63,-0.0
31,2019-10-01,0.23,-0.24,0.01
32,2019-10-14,2.87,-2.78,-0.09
33,2019-11-11,-3.13,3.08,0.05
34,2020-01-17,4.27,-4.26,-0.02
35,2020-02-06,-4.36,4.41,-0.06
36,2020-10-19,1.56,-1.63,0.07
37,2020-10-26,-0.48,0.52,-0.04
38,2021-01-07,0.19,-0.24,0.05
39,2021-01-11,-0.39,0.42,-0.03
40,2021-01-29,2.66,-2.67,0.02
41,2021-02-17,-0.42,0.45,-0.03
42,2021-09-16,-0.69,0.7,-0.01
43,2021-11-07,22.69,-22.71,0.02
44,2021-11-23,-23.4,23.39,0.02
45,2022-02-19,-0.42,0.51,-0.1
46,2022-04-09,1.38,-1.46,0.07
47,2022-09-15,-0.5,0.63,-0.13
48,2022-09-23,-1.69,1.64,0.04
49,2022-10-01,1.39,-1.35,-0.04
50,2022-10-02,-0.32,0.25,0.07
51,2022-11-26,-0.33,0.38,-0.05
52,2022-12-20,45.65,-45.64,-0.01
53,2022-12-29,-43.66,43.6,0.06
54,2023-01-13,-0.05,0.1,-0.05
55,2023-01-29,15.1,-15.11,0.0
56,2023-02-10,-14.43,14.43,0.0
57,2023-02-13,-1.1,1.1,-0.0
58,2023-02-14,-1.12,1.1,0.02
59,2023-02-15,-0.26,0.23,0.02
60,2023-09-03,0.71,-0.72,0.01
61,2023-09-26,-0.73,0.78,-0.05
62,2023-10-21,1.72,-1.69,-0.03
63,2023-11-05,-0.3,0.28,0.02
64,2024-01-06,-0.04,0.06,-0.02
65,2024-03-12,-1.59,1.54,0.05
66,2024-04-06,-0.24,0.21,0.03
67,2024-07-19,7.56,-7.46,-0.1
68,2024-09-13,-6.58,6.45,0.13
69,2024-10-14,-0.75,0.89,-0.14
70,2024-10-15,-0.1,0.03,0.07
71,2024-11-15,-0.53,0.74,-0.21
72,2024-11-16,0.71,-0.78,0.07
73,2024-12-10,0.2,-0.26,0.06
74,2024-12-25,-0.59,0.67,-0.08
75,2025-01-03,0.88,-0.88,0.0
76,2025-03-31,0.03,-0.08,0.06
