,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,1999-11-12,0.0,0.0,1.46,8.96
1,1999-12-14,-1.8,-1.7,-0.34,7.26
2,2001-01-01,-1.6,-1.62,-0.14,7.34
3,2001-01-17,-1.66,-1.78,-0.2,7.18
4,2002-01-20,0.69,-0.82,2.15,8.14
5,2005-02-21,1.44,1.76,2.9,10.72
6,2007-01-26,0.07,-3.08,1.53,5.88
7,2007-02-11,0.19,-5.74,1.65,3.22
8,2007-02-27,5.52,-2.76,6.98,6.2
9,2011-01-21,-7.6,-6.78,-6.14,2.18
10,2013-09-23,6.21,-3.72,7.67,5.24
11,2014-09-26,9.46,-5.42,10.92,3.54
12,2015-12-18,6.12,-11.38,7.58,-2.42
13,2016-01-03,7.72,-11.7,9.18,-2.74
14,2018-09-21,5.35,-21.14,6.81,-12.18
15,2019-02-01,13.26,-14.52,14.72,-5.56
16,2019-02-06,9.42,-12.5,10.88,-3.54
17,2019-02-14,4.38,-13.48,5.84,-4.52
18,2019-02-24,6.67,-13.88,8.13,-4.92
19,2019-03-01,13.05,-10.42,14.51,-1.46
20,2019-03-08,3.19,-18.0,4.65,-9.04
21,2019-03-28,8.76,-16.62,10.22,-7.66
22,2019-04-02,10.92,-16.3,12.38,-7.34
23,2019-04-05,1.63,-16.38,3.09,-7.42
24,2019-04-07,14.39,-11.22,15.85,-2.26
25,2019-04-12,4.49,-16.86,5.95,-7.9
26,2019-09-02,7.31,-17.58,8.77,-8.62
27,2019-09-04,7.18,-13.0,8.64,-4.04
28,2019-09-07,9.95,-17.66,11.41,-8.7
29,2019-09-09,4.24,-15.42,5.7,-6.46
30,2019-09-19,4.5,-15.74,5.96,-6.78
31,2019-10-14,16.32,-19.68,17.78,-10.72
32,2019-10-24,14.16,-15.34,15.62,-6.38
33,2019-11-11,4.44,-17.66,5.9,-8.7
34,2020-02-06,13.89,-14.52,15.35,-5.56
35,2020-02-09,13.41,-17.18,14.87,-8.22
36,2020-02-24,16.33,-14.36,17.79,-5.4
37,2020-02-29,5.66,-13.56,7.12,-4.6
38,2020-03-10,12.64,-16.78,14.1,-7.82
39,2020-03-27,1.87,-14.92,3.33,-5.96
40,2020-04-09,11.52,-13.0,12.98,-4.04
41,2020-08-04,2.87,-15.26,4.33,-6.3
42,2020-09-01,11.48,-11.94,12.94,-2.98
43,2020-09-18,12.23,-10.9,13.69,-1.94
44,2020-10-26,5.83,-19.44,7.29,-10.48
45,2020-11-10,19.54,-4.36,21.0,4.6
46,2020-11-17,-3.15,-12.42,-1.69,-3.46
47,2020-11-30,2.04,-9.12,3.5,-0.16
48,2020-12-12,9.91,-15.66,11.37,-6.7
49,2020-12-27,14.16,-20.26,15.62,-11.3
50,2021-01-11,15.26,-14.2,16.72,-5.24
51,2021-01-14,1.52,-15.5,2.98,-6.54
52,2021-01-29,15.72,-11.22,17.18,-2.26
53,2021-02-15,6.1,-17.58,7.56,-8.62
54,2021-02-17,7.27,-17.76,8.73,-8.8
55,2021-02-20,12.3,-15.66,13.76,-6.7
