,date,sand_area_percentage_change,water_area_percentage_change,vegetation_area_percentage_change
0,2000-12-16,0.0,0.0,0.0
1,2011-01-21,-1.7,1.5,0.2
2,2013-11-10,1.53,-1.65,0.13
3,2015-12-18,1.34,-1.33,-0.0
4,2016-01-03,0.1,-0.05,-0.04
5,2016-03-07,-2.93,3.06,-0.13
6,2017-03-26,0.35,-0.36,0.01
7,2017-09-02,0.87,-1.03,0.16
8,2017-09-18,-0.59,0.92,-0.33
9,2018-02-25,-0.02,-0.2,0.22
10,2018-09-05,-0.18,0.16,0.02
11,2018-09-21,-0.43,0.49,-0.06
12,2018-10-07,-0.03,-0.02,0.05
13,2019-02-01,37.08,-37.12,0.04
14,2019-02-21,-37.07,37.09,-0.02
15,2019-02-24,3.59,-3.72,0.13
16,2019-03-01,-1.16,1.13,0.04
17,2019-04-02,-2.35,2.52,-0.16
18,2019-04-17,2.43,-2.72,0.29
19,2019-09-08,-2.16,2.48,-0.31
20,2019-10-14,0.73,-0.42,-0.31
21,2019-10-22,-0.2,-0.25,0.45
22,2019-11-01,2.13,-1.78,-0.35
23,2019-11-11,-3.05,2.84,0.21
24,2020-01-15,3.58,-3.37,-0.21
25,2020-09-10,-0.88,0.88,-0.01
26,2020-10-21,1.59,-1.95,0.37
27,2021-01-29,25.55,-25.57,0.02
28,2021-02-15,-27.91,28.3,-0.39
29,2021-02-20,0.49,-0.84,0.35
30,2021-04-06,-2.39,2.51,-0.12
31,2021-05-08,12.96,-12.01,-0.95
32,2021-09-16,-12.36,11.3,1.06
33,2021-09-29,0.52,-0.19,-0.33
34,2021-10-13,1.98,-2.33,0.35
35,2021-10-21,-1.55,1.54,0.0
36,2021-11-02,-1.61,1.72,-0.11
37,2022-01-06,2.89,-3.01,0.11
38,2022-01-14,-0.97,1.33,-0.37
39,2022-01-19,-1.87,1.65,0.22
40,2022-01-21,1.9,-1.69,-0.2
41,2022-02-12,-1.73,1.52,0.21
42,2022-02-28,0.03,-0.02,-0.01
43,2022-03-24,1.79,-1.85,0.06
44,2022-04-01,-1.61,1.73,-0.11
45,2022-05-03,5.46,-5.59,0.13
46,2022-05-11,-5.53,5.59,-0.06
47,2022-09-08,-0.15,0.14,0.01
48,2022-10-02,0.67,-0.44,-0.23
49,2022-12-29,1.9,-2.22,0.32
50,2023-01-01,-1.91,1.87,0.03
51,2023-02-10,1.86,-1.87,0.01
52,2023-02-13,0.42,-0.07,-0.35
53,2023-02-23,-1.1,1.1,0.0
54,2023-03-03,-2.05,1.86,0.19
55,2023-05-06,0.7,-0.81,0.11
56,2023-09-03,1.42,-1.44,0.02
57,2023-10-21,0.8,-0.47,-0.33
58,2023-11-05,24.26,-24.27,0.01
59,2023-11-06,-25.4,25.41,-0.01
60,2023-11-20,31.27,-31.27,-0.0
61,2024-02-20,-32.72,32.5,0.22
62,2024-02-28,31.88,-32.02,0.13
63,2024-03-21,-31.67,32.13,-0.46
64,2024-04-06,0.16,-0.16,0.0
65,2024-09-13,0.87,-1.0,0.13
66,2024-10-15,-1.53,1.33,0.2
67,2024-12-16,27.79,-27.94,0.15
68,2025-01-03,-27.0,27.46,-0.46
69,2025-01-05,2.82,-2.91,0.09
70,2025-04-15,34.98,-35.33,0.35
