,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,2001-04-09,0.0,,-7.08,
1,2001-08-15,,,,
2,2013-08-08,2.37,,-4.71,
3,2013-10-11,,,,
4,2014-04-21,,,,
5,2014-08-11,-0.44,,-7.52,
6,2015-06-27,,,,
7,2015-07-29,15.61,,8.53,
8,2016-04-26,13.39,,6.31,
9,2016-05-12,,,,
10,2016-07-15,,,,
11,2017-08-03,,,,
12,2018-04-16,-1.95,,-9.03,
13,2018-05-02,6.72,,-0.36,
14,2018-05-18,,,,
15,2018-07-21,,,,
16,2019-01-13,,,,
17,2019-02-03,-6.71,,-13.79,
18,2019-07-08,49.41,,42.33,
19,2019-09-09,,,,
20,2019-09-14,-5.45,,-12.53,
21,2019-11-13,6.45,,-0.63,
22,2020-01-27,2.05,,-5.03,
23,2020-06-08,8.64,,1.56,
24,2020-07-10,,,,
25,2020-07-26,,,,
26,2020-08-27,,,,
27,2021-03-17,11.5,,4.42,
28,2021-04-16,,,,
29,2021-05-26,-1.9,,-8.98,
30,2021-06-11,5.64,,-1.44,
31,2021-08-14,,,,
32,2021-08-30,,,,
33,2021-09-23,-6.17,,-13.25,
34,2022-02-22,,,,
35,2022-04-01,-7.99,,-15.07,
36,2022-05-05,,,,
37,2022-06-22,,,,
38,2022-08-09,10.76,,3.68,
39,2023-01-08,-1.74,,-8.82,
40,2023-02-10,,,,
41,2023-02-25,,,,
42,2023-02-27,,,,
43,2023-03-17,,,,
44,2023-04-06,4.56,,-2.52,
45,2023-04-14,,,,
46,2023-05-24,,,,
47,2023-06-01,,,,
48,2023-06-09,,,,
49,2023-07-03,,,,
50,2023-07-11,,,,
51,2023-08-12,,,,
52,2023-11-24,,,,
53,2024-01-28,6.9,,-0.18,
54,2024-02-15,,,,
55,2024-02-17,,,,
56,2024-04-16,,,,
57,2024-06-03,,,,
58,2024-09-07,,,,
59,2024-09-22,,,,
60,2024-09-23,,,,
61,2024-11-02,11.11,,4.03,
62,2024-11-10,,,,
63,2024-11-11,,,,
64,2024-11-16,3.41,,-3.67,
