Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,LE07,1999-10-13,-0.03,-0.58,-0.0,-0.06,-4.72,-17.44,77.6,1003.36,321.12
,LE07,2000-03-21,0.27,5.48,-0.22,-4.5,3.44,-68.36,136.68,995.2,270.2
,LE07,2000-10-15,0.01,0.22,-0.18,-3.54,-4.28,-32.0,92.6,1002.92,306.56
,LE07,2001-02-20,0.01,0.22,-0.9,-17.92,-4.2,-187.96,248.64,1002.84,150.6
,LE07,2001-05-27,-0.76,-15.1,-0.41,-8.22,-22.2,-125.96,168.64,1020.84,212.6
,LE07,2001-10-18,0.6,12.1,-0.23,-4.62,10.76,-23.64,99.28,987.88,314.92
,LE07,2001-11-03,-0.45,-8.98,-0.17,-3.36,-12.88,1.32,50.68,1011.52,339.88
,LE07,2002-04-12,-0.04,-0.82,-0.35,-6.96,-4.28,-63.28,123.88,1002.92,275.28
,LE07,2002-09-03,-0.33,-6.52,-0.42,-8.48,-12.4,-69.56,122.04,1011.04,269.0
,LE07,2002-12-24,-0.6,-11.92,-0.6,-11.96,-17.88,-73.92,120.92,1016.52,264.64
,LT05,2003-10-16,-0.71,-14.12,-0.04,-0.88,-21.56,-17.96,61.28,1020.2,320.6
,LT05,2004-02-05,-0.12,-2.42,-0.88,-17.6,-6.4,-186.36,244.84,1005.04,152.2
,LT05,2004-10-18,-0.18,-3.64,-0.15,-3.04,-7.64,-40.28,97.52,1006.28,298.28
,LT05,2005-03-11,0.4,8.0,-0.28,-5.5,6.04,-74.6,145.52,992.6,263.96
,LT05,2005-10-05,-0.32,-6.34,-0.31,-6.2,-10.44,-65.88,120.32,1009.08,272.68
,LT05,2006-02-10,-0.67,-13.38,-0.38,-7.66,-21.04,-111.68,155.52,1019.68,226.88
,LT05,2006-02-26,0.38,7.5,-0.42,-8.48,6.4,-133.32,204.6,992.24,205.24
,LT05,2006-10-08,0.39,7.88,-0.61,-12.16,5.84,-74.8,145.52,992.8,263.76
,LT05,2008-02-16,-0.62,-12.34,-0.73,-14.62,-18.16,-141.64,188.36,1016.8,196.92
,LT05,2008-10-29,-0.34,-6.76,-0.42,-8.42,-12.44,-83.68,136.12,1011.08,254.88
,LT05,2011-03-28,-0.78,-15.58,-0.42,-8.36,-21.8,-66.08,109.16,1020.44,272.48
,LC08,2013-10-11,-0.27,-5.36,-0.0,-0.06,-9.56,-17.68,73.0,1008.2,320.88
,LC08,2013-12-30,-0.08,-1.56,-0.02,-0.38,-4.92,-10.84,70.8,1003.56,327.72
,LC08,2014-10-30,-0.43,-8.66,0.07,1.46,-12.24,-1.16,53.8,1010.88,337.4
,LC08,2015-01-18,0.17,3.46,-0.51,-10.18,0.68,-127.52,193.08,997.96,211.04
,LC08,2015-02-03,0.23,4.68,-0.54,-10.82,3.32,-151.72,219.92,995.32,186.84
,LC08,2015-04-24,-0.68,-13.56,-0.4,-8.1,-19.24,-65.68,111.32,1017.88,272.88
,LC08,2015-10-01,0.12,2.48,-0.34,-6.84,-0.08,-28.12,92.92,998.72,310.44
,LC08,2015-10-17,-0.22,-4.44,-0.4,-7.98,-8.8,-36.52,92.6,1007.44,302.04
,LC08,2016-03-25,-0.04,-0.76,-0.13,-2.54,-3.44,-61.72,123.16,1002.08,276.84
,LC08,2016-05-12,-0.68,-13.56,-0.18,-3.6,-19.16,-57.52,103.24,1017.8,281.04
,LC08,2016-09-01,0.12,2.42,-0.28,-5.64,-0.16,-34.68,99.4,998.8,303.88
,LC08,2017-11-07,-0.56,-11.3,-0.28,-5.56,-14.6,-55.04,105.32,1013.24,283.52
,LC08,2018-03-31,0.2,3.96,-0.1,-2.02,1.2,-51.36,117.44,997.44,287.2
,LC08,2018-05-02,-0.55,-11.0,-0.24,-4.74,-15.64,-73.08,122.32,1014.28,265.48
,LC08,2018-09-07,-0.38,-7.5,-0.15,-3.04,-11.0,-35.84,89.72,1009.64,302.72
,S2,2019-01-04,0.66,13.2,0.23,4.62,8.92,-11.84,85.64,989.72,326.72
,S2,2019-02-03,0.18,3.64,-0.47,-9.36,2.68,-98.04,165.6,995.96,240.52
,S2,2019-02-08,0.42,8.36,-0.49,-9.74,5.76,-117.72,188.36,992.88,220.84
,S2,2019-02-28,-0.04,-0.76,-0.46,-9.24,-0.2,-86.2,150.88,998.84,252.36
,S2,2019-03-05,0.51,10.26,-0.49,-9.74,7.0,-80.84,152.72,991.64,257.72
,S2,2019-04-14,-7.15,-143.08,-0.85,-17.08,-29.76,-72.04,107.16,1028.4,266.52
,S2,2019-04-29,-0.34,-6.9,-0.69,-13.86,-7.04,-54.68,112.52,1005.68,283.88
