Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,LE07,1999-11-21,-2.94,-58.82,-0.38,-7.66,22.84,-179.0,218.24,828.68,102.72
,LE07,1999-12-07,-0.84,-16.84,-0.44,-8.7,48.76,-180.48,245.64,802.76,101.24
,LE07,2000-11-07,-0.83,-16.54,-0.25,-4.98,26.28,-177.24,219.92,825.24,104.48
,LE07,2001-01-10,-0.84,-16.84,-0.48,-9.66,36.64,-170.72,223.76,814.88,111.0
,LE07,2001-01-26,-0.88,-17.66,-0.48,-9.66,59.4,-161.48,237.28,792.12,120.24
,LE07,2001-02-27,-0.22,-4.32,-0.63,-12.64,69.76,-155.96,242.12,781.76,125.76
,LE07,2001-09-07,-0.59,-11.86,-0.3,-5.94,33.0,-152.2,201.6,818.52,129.52
,LE07,2001-12-12,-2.94,-58.7,0.0,0.1,56.92,-181.96,255.28,794.6,99.76
,LE07,2002-04-03,-0.28,-5.54,-0.24,-4.88,70.48,-167.6,254.48,781.04,114.12
,LT05,2004-01-27,0.01,0.26,-0.61,-12.16,61.24,-177.04,254.68,790.28,104.68
,LT05,2004-11-26,-2.94,-58.7,-0.09,-1.72,56.92,-178.28,251.6,794.6,103.44
,LT05,2004-12-12,-2.94,-58.82,-0.13,-2.58,0.44,-181.16,198.0,851.08,100.56
,LT05,2005-09-10,-0.54,-10.84,-0.63,-12.64,63.16,-161.12,240.68,788.36,120.6
,LT05,2005-11-13,-2.94,-58.7,-0.28,-5.64,70.24,-177.28,263.92,781.28,104.44
,LT05,2006-10-31,-0.02,-0.36,-0.27,-5.36,72.96,-179.4,268.76,778.56,102.32
,LC08,2013-09-16,0.35,6.98,-0.01,-0.28,7.08,-2.2,25.68,844.36,279.52
,LC08,2013-10-18,3.0,60.0,-0.27,-5.36,114.0,-103.64,234.04,737.52,178.08
,LC08,2013-12-21,0.1,2.08,-0.13,-2.58,3.64,-54.8,74.84,847.88,226.92
,LC08,2014-09-03,0.87,17.46,-0.12,-2.48,21.04,-12.4,49.84,830.16,269.32
,LC08,2014-11-06,-0.16,-3.3,0.07,1.34,-0.24,-1.2,17.36,851.76,280.52
,LC08,2015-02-26,0.61,12.16,-0.1,-2.0,15.8,-20.64,52.84,835.72,261.08
,LC08,2015-03-14,0.98,19.6,-0.23,-4.68,23.12,-116.64,156.16,828.4,165.08
,LC08,2015-05-01,0.23,4.52,-0.21,-4.12,6.72,-122.4,145.52,844.8,159.32
,LC08,2016-02-29,2.95,58.96,-0.23,-4.68,23.96,-99.12,139.48,827.56,182.6
,LC08,2016-03-16,0.77,15.42,-0.24,-4.88,17.32,-87.8,121.52,834.12,193.92
,LC08,2016-11-11,-0.4,-7.98,-0.34,-6.88,-3.84,-138.08,150.64,855.2,143.64
,LC08,2017-02-15,2.8,56.1,-0.28,-5.64,23.76,-104.96,145.12,827.68,176.76
,LC08,2017-04-20,0.95,19.08,-0.4,-8.04,22.0,-127.6,166.0,829.52,154.12
,LC08,2017-09-11,2.92,58.44,-0.15,-3.06,24.04,-117.76,158.2,827.48,163.96
,S2,2018-12-23,-0.4,-8.1,-0.36,-7.18,25.2,-5.6,47.2,826.32,276.12
,S2,2019-01-02,-0.73,-14.6,-0.14,-2.88,45.44,-4.48,66.32,806.08,277.24
,S2,2019-02-01,-0.36,-7.28,-0.01,-0.2,31.92,-1.8,50.12,819.6,279.92
,LC08,2019-02-05,0.38,7.58,0.03,0.66,9.96,2.04,24.32,841.56,283.76
,S2,2019-03-28,0.94,18.88,-0.06,-1.14,88.4,1.08,103.72,763.12,282.8
,S2,2019-04-02,-0.58,-11.66,-0.37,-7.46,39.8,-5.6,61.8,811.72,276.12
,S2,2019-04-17,0.92,18.48,0.29,5.74,32.2,4.52,44.08,819.32,286.24
,S2,2019-12-28,0.33,6.66,-0.03,-0.66,36.68,-0.12,53.2,814.84,281.6
