,date,sand_area_percentage_change,water_area_percentage_change,vegetation_area_percentage_change
0,1999-11-05,0.0,0.0,0.0
1,2000-04-13,0.36,-0.76,0.4
2,2000-11-07,-0.73,0.88,-0.15
3,2001-01-10,-0.55,0.27,0.28
4,2001-01-26,0.27,-0.28,0.02
5,2001-02-27,0.92,-0.98,0.06
6,2001-03-15,0.03,-0.07,0.04
7,2001-07-05,17.62,-16.82,-0.81
8,2001-09-07,-17.4,16.78,0.62
9,2001-09-23,0.0,0.04,-0.04
10,2001-12-12,-0.49,0.96,-0.47
11,2002-04-03,1.16,-0.91,-0.25
12,2003-02-01,-2.0,1.9,0.1
13,2004-11-26,0.17,-0.53,0.36
14,2004-12-12,0.0,-0.06,0.06
15,2005-09-10,0.9,-0.72,-0.18
16,2006-10-31,0.21,-0.27,0.05
17,2011-02-15,-3.3,1.73,1.57
18,2011-03-19,-0.16,0.09,0.06
19,2013-09-16,0.68,-0.59,-0.09
20,2013-10-18,-0.39,0.44,-0.05
21,2014-09-03,1.92,-1.98,0.06
22,2015-02-26,-1.05,0.81,0.24
23,2015-03-14,0.02,-0.08,0.06
24,2016-02-29,0.03,0.14,-0.18
25,2016-03-16,-0.71,0.67,0.05
26,2016-07-06,1.05,-1.33,0.28
27,2016-09-08,1.17,-0.16,-1.02
28,2017-04-20,0.53,0.37,-0.9
29,2017-09-11,0.11,-0.05,-0.05
30,2018-03-06,1.13,-0.35,-0.78
31,2018-12-23,-2.13,1.22,0.91
32,2019-01-02,-1.38,1.39,-0.01
33,2019-01-07,0.13,-0.44,0.31
34,2019-02-01,0.63,-0.77,0.14
35,2019-02-05,-0.18,0.32,-0.14
36,2019-10-14,0.95,-1.08,0.14
37,2020-01-17,1.26,-1.29,0.03
38,2020-03-11,-1.07,1.1,-0.02
39,2020-03-27,0.18,-0.18,0.0
40,2020-10-13,-1.94,1.94,0.0
41,2020-12-27,0.98,-0.98,0.0
42,2021-03-30,0.59,-0.62,0.03
43,2021-09-23,-1.29,1.26,0.03
44,2021-11-02,-0.31,0.29,0.02
45,2021-11-17,-0.13,0.14,-0.01
46,2021-11-21,0.2,-0.1,-0.09
47,2021-12-22,0.06,-0.08,0.03
48,2022-01-11,0.54,-0.62,0.07
49,2022-01-21,0.53,-0.52,-0.0
50,2022-01-26,0.49,-0.47,-0.02
51,2022-03-01,-1.33,1.4,-0.08
52,2022-09-09,1.09,-1.15,0.06
53,2022-10-13,-0.15,0.14,0.01
54,2022-12-22,-1.59,1.63,-0.05
55,2023-01-07,0.78,-0.73,-0.05
56,2023-01-23,0.65,-0.68,0.03
57,2023-02-15,0.71,-0.79,0.09
58,2023-02-16,-1.44,1.51,-0.08
59,2023-02-25,2.02,-2.1,0.08
60,2023-04-05,-2.23,2.19,0.04
61,2023-10-06,0.39,-0.3,-0.08
62,2023-10-28,-0.8,0.76,0.04
63,2023-11-17,0.42,-0.34,-0.08
64,2023-11-23,-0.41,0.37,0.04
65,2023-12-09,-0.51,0.58,-0.07
66,2024-02-19,0.78,-0.89,0.11
67,2024-02-20,0.0,-0.01,0.01
68,2024-04-07,-0.38,0.42,-0.05
