,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,2001-01-26,0.0,0.0,-6.98,-2.14
1,2001-12-21,90.08,7.8,83.1,5.66
2,2002-02-07,31.75,4.28,24.77,2.14
3,2002-02-14,15.03,4.02,8.05,1.88
4,2002-02-23,18.68,8.8,11.7,6.66
5,2002-03-11,29.13,5.28,22.15,3.14
6,2003-08-29,18.7,1.76,11.72,-0.38
7,2006-01-25,15.44,6.3,8.46,4.16
8,2013-10-18,6.87,6.54,-0.11,4.4
9,2013-12-21,9.76,11.32,2.78,9.18
10,2014-02-07,19.12,7.3,12.14,5.16
11,2014-02-23,19.53,11.32,12.55,9.18
12,2014-09-03,83.29,4.28,76.31,2.14
13,2014-09-19,4.8,5.78,-2.18,3.64
14,2015-02-26,19.83,10.56,12.85,8.42
15,2016-02-13,83.47,0.26,76.49,-1.88
16,2016-02-29,90.59,0.0,83.61,-2.14
17,2016-03-16,99.2,1.0,92.22,-1.14
18,2017-02-15,85.64,-1.0,78.66,-3.14
19,2018-01-17,-2.6,0.76,-9.58,-1.38
20,2018-03-06,86.63,0.0,79.65,-2.14
21,2018-11-17,24.13,0.76,17.15,-1.38
22,2018-12-13,13.32,-5.54,6.34,-7.68
23,2018-12-23,14.36,-6.04,7.38,-8.18
24,2019-01-07,-3.73,-8.3,-10.71,-10.44
25,2019-01-14,18.04,-5.02,11.06,-7.16
26,2019-02-01,26.69,-1.76,19.71,-3.9
27,2019-02-05,21.77,-0.24,14.79,-2.38
28,2019-02-28,104.21,-3.26,97.23,-5.4
29,2019-03-28,96.22,-2.02,89.24,-4.16
30,2019-04-02,13.33,-3.78,6.35,-5.92
31,2019-09-09,23.02,-4.02,16.04,-6.16
32,2019-10-14,27.55,-5.78,20.57,-7.92
33,2019-12-08,17.22,-1.76,10.24,-3.9
34,2019-12-20,23.55,-4.02,16.57,-6.16
35,2019-12-22,6.82,-0.76,-0.16,-2.9
36,2020-01-12,-9.75,-8.04,-16.73,-10.18
37,2020-01-17,86.72,-6.8,79.74,-8.94
38,2020-01-29,12.16,-3.26,5.18,-5.4
39,2020-02-13,82.23,-2.52,75.25,-4.66
40,2020-10-08,91.11,-5.54,84.13,-7.68
41,2020-10-21,82.87,-2.52,75.89,-4.66
42,2020-10-23,13.48,-8.04,6.5,-10.18
43,2020-11-09,10.33,-6.8,3.35,-8.94
44,2020-12-02,-6.29,-2.52,-13.27,-4.66
45,2020-12-09,14.38,-3.26,7.4,-5.4
46,2020-12-27,9.77,-6.28,2.79,-8.42
47,2021-01-11,18.45,-3.52,11.47,-5.66
48,2021-01-16,-14.52,-3.52,-21.5,-5.66
49,2021-01-28,3.59,-3.02,-3.39,-5.16
50,2021-02-15,2.72,-3.52,-4.26,-5.66
