,date,sand_area_percentage_change,water_area_percentage_change,vegetation_area_percentage_change
0,1999-08-26,0.0,0.0,0.0
1,1999-10-13,1.63,-2.1,0.48
2,1999-11-21,-5.54,4.7,0.85
3,2000-03-12,10.36,-11.57,1.21
4,2001-01-10,-9.21,9.5,-0.29
5,2001-02-20,-1.06,1.07,-0.01
6,2001-03-08,1.26,0.07,-1.32
7,2001-03-15,7.36,-7.37,0.01
8,2001-03-31,-0.7,-0.92,1.63
9,2001-04-16,-2.34,2.09,0.26
10,2001-08-31,-2.52,6.25,-3.72
11,2001-10-02,-2.96,-0.4,3.36
12,2001-12-21,6.21,-6.28,0.07
13,2002-02-14,-4.34,4.53,-0.19
14,2002-10-05,0.0,2.2,-2.2
15,2002-11-22,-0.98,-1.34,2.32
16,2003-02-01,-0.4,0.73,-0.33
17,2003-02-26,0.23,-0.26,0.03
18,2003-03-21,1.34,-0.03,-1.31
19,2003-09-14,3.85,-1.26,-2.59
20,2003-10-16,4.43,-7.08,2.65
21,2003-11-17,-5.59,4.61,0.98
22,2003-12-03,-3.24,3.17,0.07
23,2004-04-25,2.67,-3.28,0.61
24,2004-11-10,-1.76,3.55,-1.79
25,2005-02-23,-0.4,-0.24,0.64
26,2005-03-02,6.5,-7.19,0.69
27,2005-03-11,-6.33,6.53,-0.2
28,2005-03-27,0.35,-0.25,-0.1
29,2005-04-12,3.44,-3.63,0.19
30,2005-09-10,-0.41,2.16,-1.75
31,2005-09-19,-2.48,1.65,0.83
32,2005-10-05,0.58,-0.26,-0.32
33,2006-01-25,0.49,-1.61,1.12
34,2006-02-17,0.89,-0.9,0.01
35,2006-09-13,2.49,1.37,-3.86
36,2006-10-24,-4.93,1.92,3.01
37,2007-02-04,1.3,-2.19,0.89
38,2007-10-02,5.64,-2.12,-3.51
39,2010-12-06,-2.79,3.14,-0.35
40,2011-01-07,-0.92,-3.17,4.1
41,2011-01-23,0.7,-1.09,0.39
42,2011-02-08,2.11,-2.16,0.05
43,2011-02-15,-5.95,7.83,-1.88
44,2011-03-12,5.9,-6.06,0.16
45,2013-09-16,-5.96,4.02,1.94
46,2013-10-18,-0.9,2.24,-1.34
47,2013-11-12,4.68,-4.35,-0.32
48,2013-11-19,-2.5,2.44,0.06
49,2013-12-14,-0.37,0.27,0.1
50,2014-02-07,5.42,-7.43,2.01
51,2014-03-20,-3.27,3.76,-0.5
52,2014-09-28,-1.04,1.2,-0.16
53,2015-01-09,1.16,-1.5,0.33
54,2015-01-25,3.01,-3.25,0.24
55,2015-02-19,-7.5,7.87,-0.37
56,2015-03-14,3.84,-4.02,0.18
57,2015-05-01,-3.98,3.6,0.38
58,2015-09-06,3.95,-2.65,-1.3
59,2016-01-05,-2.63,1.73,0.9
60,2016-02-06,-2.34,2.59,-0.25
61,2016-02-13,9.23,-9.71,0.49
62,2016-10-26,-7.07,6.76,0.3
63,2016-12-22,2.23,-2.33,0.1
64,2017-01-23,-1.2,1.26,-0.06
65,2017-02-15,2.39,-1.7,-0.7
66,2017-03-28,-4.36,3.64,0.72
67,2017-07-09,28.13,-1.04,-27.1
68,2017-09-20,-27.74,2.78,24.96
69,2017-11-30,4.52,-3.7,-0.83
70,2017-12-25,8.77,-6.19,-2.58
71,2018-02-02,-8.56,8.3,0.27
72,2018-02-18,13.6,-0.46,-13.14
73,2018-04-23,-6.47,-7.64,14.1
74,2018-05-02,-6.23,6.42,-0.19
75,2018-08-29,-1.69,1.13,0.55
76,2018-09-14,4.05,-4.38,0.33
77,2018-11-26,-2.48,1.69,0.79
78,2018-12-15,6.44,-6.5,0.07
79,2018-12-23,-10.37,10.7,-0.32
80,2018-12-25,1.48,-1.52,0.05
81,2019-01-04,-1.26,1.03,0.23
82,2019-01-07,0.42,-0.34,-0.08
83,2019-01-14,7.35,-7.43,0.08
84,2019-02-01,-7.2,6.77,0.43
85,2019-02-14,3.49,-3.22,-0.27
86,2019-02-28,-0.23,-0.89,1.11
87,2019-03-02,-3.3,4.45,-1.15
88,2019-03-13,3.93,-5.09,1.15
89,2019-03-23,-3.68,4.45,-0.77
90,2019-03-28,4.66,-5.39,0.73
91,2019-04-02,-5.94,6.49,-0.54
92,2019-04-07,0.63,-0.89,0.26
93,2019-04-12,5.72,-6.06,0.33
94,2019-04-22,-5.37,5.8,-0.43
95,2019-05-05,-1.41,1.07,0.34
96,2019-08-20,0.72,-0.46,-0.27
97,2019-08-30,-1.84,1.99,-0.15
98,2019-09-09,1.01,-1.42,0.41
99,2019-09-10,-0.13,0.64,-0.5
100,2019-09-17,0.7,-0.3,-0.39
101,2019-09-19,0.24,-0.76,0.52
102,2019-10-12,-1.88,1.87,0.01
103,2019-12-20,3.03,-3.03,0.0
104,2019-12-25,-3.51,3.12,0.39
105,2019-12-28,1.09,-0.74,-0.34
106,2019-12-31,6.83,-4.76,-2.07
107,2020-01-12,-7.96,5.73,2.23
108,2020-02-21,-0.06,-0.31,0.37
109,2020-03-27,1.3,-0.74,-0.55
110,2020-04-01,5.17,-5.3,0.13
111,2020-04-03,-3.03,2.85,0.18
112,2020-08-11,0.76,0.48,-1.24
113,2020-09-19,-3.28,3.54,-0.27
114,2020-09-23,5.02,-5.33,0.31
115,2020-10-14,-6.0,5.82,0.18
116,2020-10-21,4.36,-4.17,-0.19
117,2020-10-23,3.23,-3.3,0.07
118,2020-11-09,-3.95,3.64,0.31
119,2020-11-14,-4.05,3.45,0.6
120,2020-12-24,3.49,-2.46,-1.03
121,2020-12-27,-2.3,2.06,0.24
122,2021-01-03,6.97,-6.91,-0.06
123,2021-01-13,-7.08,6.93,0.14
124,2021-01-23,3.72,-3.29,-0.44
125,2021-01-25,-3.4,3.5,-0.1
126,2021-01-26,-0.07,-0.45,0.51
127,2021-01-31,1.31,-1.19,-0.12
128,2021-02-02,7.44,-7.44,0.0
129,2021-02-12,-8.98,8.73,0.25
130,2021-02-15,3.27,-3.27,0.0
131,2021-03-17,-0.45,0.57,-0.12
132,2021-03-23,1.45,-1.06,-0.39
133,2021-04-06,-1.91,0.8,1.11
134,2021-04-16,-0.21,0.88,-0.67
135,2021-08-29,3.22,-2.99,-0.23
136,2021-08-30,0.32,0.27,-0.59
137,2021-09-13,0.82,-1.55,0.73
138,2021-09-25,-4.79,4.43,0.36
139,2021-10-13,6.57,-6.54,-0.03
140,2021-10-30,-4.23,4.2,0.03
141,2021-11-02,-3.97,4.08,-0.1
142,2021-11-06,0.74,0.03,-0.77
143,2021-11-07,0.1,-0.4,0.3
144,2021-11-16,-1.98,2.3,-0.31
145,2021-11-18,1.59,-1.73,0.14
146,2022-01-01,-0.47,-0.41,0.88
147,2022-01-12,4.2,-2.93,-1.27
148,2022-01-13,-1.97,1.95,0.02
149,2022-01-21,1.5,-2.32,0.83
150,2022-01-26,6.1,-5.88,-0.22
151,2022-01-28,-5.8,5.2,0.6
152,2022-02-13,-3.61,4.39,-0.78
153,2022-02-15,-0.91,0.11,0.8
154,2022-02-17,0.87,-0.93,0.07
155,2022-02-22,9.7,-8.83,-0.87
156,2022-02-25,-2.92,2.08,0.85
157,2022-03-01,-7.84,8.51,-0.68
158,2022-03-09,9.42,-9.23,-0.19
159,2022-03-14,-6.7,5.83,0.87
160,2022-03-25,5.32,-4.0,-1.32
161,2022-03-26,-2.45,1.65,0.8
162,2022-04-02,-4.25,4.2,0.05
163,2022-04-03,2.39,-1.88,-0.51
164,2022-04-18,-1.44,1.5,-0.06
165,2022-04-26,1.47,-1.52,0.06
166,2022-05-04,2.24,-2.14,-0.1
167,2022-05-05,4.03,-0.73,-3.3
168,2022-05-28,-7.59,3.8,3.79
169,2022-09-09,0.1,0.72,-0.83
170,2022-09-10,-0.15,-0.04,0.19
171,2022-09-13,-0.3,-0.7,1.01
172,2022-10-05,1.5,-1.79,0.3
173,2022-10-13,0.27,0.28,-0.54
174,2022-10-15,5.5,-5.79,0.3
175,2022-11-09,-7.51,7.38,0.13
176,2022-11-13,6.41,-5.59,-0.82
177,2022-11-14,1.17,-2.31,1.14
178,2022-12-06,-7.3,8.52,-1.22
179,2022-12-23,-0.06,0.04,0.02
180,2023-01-08,0.91,-0.99,0.08
181,2023-01-11,1.7,-1.5,-0.19
182,2023-01-15,6.43,-6.21,-0.22
183,2023-01-16,-0.65,-0.16,0.81
184,2023-01-18,-7.16,7.11,0.05
185,2023-01-24,2.84,-1.82,-1.02
186,2023-02-12,2.16,-3.19,1.03
187,2023-02-16,-4.19,5.04,-0.85
188,2023-02-27,5.87,-7.09,1.22
189,2023-03-05,-7.95,8.83,-0.88
190,2023-03-14,9.33,-10.17,0.84
191,2023-03-20,-12.45,14.28,-1.83
192,2023-03-21,-0.09,-1.38,1.47
193,2023-03-22,2.27,-2.05,-0.22
194,2023-03-29,7.66,-6.96,-0.7
195,2023-04-06,-6.6,6.05,0.55
196,2023-08-20,2.3,-1.95,-0.35
197,2023-08-28,-1.29,1.61,-0.32
198,2023-09-03,2.05,-2.58,0.53
199,2023-09-08,3.6,-3.56,-0.04
200,2023-09-25,-4.35,4.15,0.2
201,2023-10-03,0.72,-1.19,0.47
202,2023-10-06,1.09,0.26,-1.34
203,2023-10-18,-2.46,1.54,0.91
204,2023-10-20,2.04,-2.66,0.62
205,2023-10-28,-4.98,5.31,-0.33
206,2023-10-30,0.68,-0.66,-0.02
207,2023-11-15,-0.28,0.7,-0.43
208,2023-11-24,0.3,-1.12,0.83
209,2023-12-07,4.29,-3.32,-0.96
210,2023-12-17,1.28,-1.54,0.27
211,2023-12-18,4.66,-4.49,-0.17
212,2023-12-19,0.94,-1.33,0.39
213,2023-12-26,-11.12,11.58,-0.46
214,2024-01-28,0.36,-1.27,0.9
215,2024-02-10,-2.29,2.12,0.16
216,2024-02-12,4.66,-4.65,-0.01
217,2024-02-17,5.5,-5.4,-0.1
218,2024-02-20,-7.31,7.45,-0.13
219,2024-02-22,-0.98,0.74,0.24
220,2024-02-25,-0.49,0.52,-0.04
221,2024-02-27,2.56,-2.57,0.01
222,2024-02-28,1.67,-0.97,-0.7
223,2024-03-07,-3.22,2.88,0.34
224,2024-03-23,-1.53,1.3,0.23
225,2024-03-28,1.54,-1.72,0.18
226,2024-04-07,-2.17,2.31,-0.14
227,2024-04-15,6.92,-6.18,-0.74
228,2024-05-02,-1.77,1.39,0.38
229,2024-06-03,-3.21,3.16,0.05
230,2024-06-27,11.64,-11.0,-0.64
231,2024-07-21,-12.27,11.59,0.68
232,2024-09-23,3.3,-3.49,0.18
233,2024-09-29,-3.15,3.06,0.1
234,2024-10-09,3.07,-3.0,-0.07
235,2024-10-14,-3.69,3.72,-0.04
236,2024-11-02,-0.51,0.46,0.06
237,2024-11-09,5.45,-3.48,-1.97
238,2024-11-17,-5.29,3.46,1.83
239,2024-12-06,6.74,-6.68,-0.07
