Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,LE07,1999-11-21,0.37,7.42,0.7,13.94,-4.08,2.4,28.04,76.64,401.28
,LE07,2000-01-17,0.83,16.58,0.71,14.22,5.04,5.96,33.6,67.52,404.84
,LE07,2000-02-09,0.79,15.72,0.7,13.94,14.8,5.88,43.44,57.76,404.76
,LE07,2000-03-12,0.87,17.42,0.7,13.94,15.4,5.88,44.04,57.16,404.76
,LE07,2000-09-13,0.4,8.0,0.67,13.42,-3.2,5.36,25.96,75.76,404.24
,LE07,2000-11-07,0.79,15.72,0.68,13.68,2.56,5.72,31.36,70.0,404.6
,LE07,2001-03-08,0.46,9.14,0.67,13.42,-4.92,5.72,23.88,77.48,404.6
,LE07,2001-03-15,5.0,100.0,0.67,13.42,21.16,5.56,50.12,51.4,404.44
,LE07,2001-08-31,0.27,5.42,0.62,12.36,-8.08,-51.36,77.8,80.64,347.52
,LE07,2001-11-03,0.33,6.58,0.67,13.42,-2.24,-5.32,37.6,74.8,393.56
,LE07,2001-12-21,5.0,100.0,0.71,14.22,19.52,5.72,48.32,53.04,404.6
,LE07,2002-02-14,0.43,8.58,0.7,13.94,-0.76,4.88,28.88,73.32,403.76
,LE07,2002-10-05,0.09,1.72,0.67,13.42,-12.36,5.04,17.12,84.92,403.92
,LE07,2003-02-26,0.46,9.14,0.67,13.42,-3.32,5.44,25.76,75.88,404.32
,LE07,2003-03-05,0.49,9.72,0.67,13.42,1.88,5.44,30.96,70.68,404.32
,LE07,2003-03-21,0.79,15.72,0.67,13.42,10.96,5.44,40.04,61.6,404.32
,LT05,2004-10-02,0.79,15.72,0.67,13.42,5.28,-5.76,45.56,67.28,393.12
,LT05,2004-11-10,0.16,3.14,0.67,13.42,-18.96,4.4,11.16,91.52,403.28
,LT05,2005-02-23,0.83,16.58,0.67,13.42,-7.4,5.2,21.92,79.96,404.08
,LT05,2005-03-11,0.83,16.58,0.67,13.42,-4.8,5.2,24.52,77.36,404.08
,LT05,2005-03-18,0.83,16.58,0.64,12.9,3.68,4.52,33.68,68.88,403.4
,LT05,2005-04-12,0.83,16.58,0.64,12.9,4.8,5.08,34.24,67.76,403.96
,LT05,2006-01-25,0.87,17.42,0.67,13.42,-3.48,0.24,30.8,76.04,399.12
,LT05,2006-02-17,4.7,93.96,0.67,13.42,11.76,-11.52,57.8,60.8,387.36
,LT05,2006-10-24,0.13,2.58,0.67,13.42,-16.76,4.36,13.4,89.32,403.24
,LT05,2007-02-13,0.8,16.0,0.67,13.42,-8.96,5.16,20.4,81.52,404.04
,LT05,2007-09-09,-0.61,-12.28,0.64,12.9,-22.84,3.2,8.48,95.4,402.08
,LT05,2011-01-07,-0.03,-0.58,0.03,0.52,-3.44,-13.92,45.0,76.0,384.96
,LT05,2011-01-23,0.59,11.72,-0.12,-2.36,7.84,-10.8,53.16,64.72,388.08
,LT05,2011-02-08,0.03,0.58,-0.13,-2.64,8.8,-6.36,49.68,63.76,392.52
,LC08,2013-08-08,-0.73,-14.58,0.25,5.0,-3.12,-23.84,55.24,75.68,375.04
,LC08,2013-09-16,-0.27,-5.42,0.36,7.1,2.68,-1.0,38.2,69.88,397.88
,LC08,2013-09-25,4.99,99.7,0.25,5.0,16.84,-1.48,52.84,55.72,397.4
,LC08,2013-11-12,0.2,4.0,0.25,5.0,6.72,-1.44,42.68,65.84,397.44
,LC08,2014-03-20,0.57,11.42,0.29,5.78,11.84,-1.76,48.12,60.72,397.12
,LC08,2014-04-05,0.73,14.58,0.3,6.06,13.04,-1.96,49.52,59.52,396.92
,LC08,2014-09-03,4.99,99.7,0.26,5.26,14.04,-7.28,55.84,58.52,391.6
,LC08,2014-09-28,0.17,3.42,0.28,5.52,7.36,-7.28,49.16,65.2,391.6
,LC08,2014-10-21,-0.51,-10.28,0.28,5.52,-4.16,-7.64,38.0,76.72,391.24
,LC08,2015-03-14,0.61,12.28,0.14,2.9,8.48,-8.6,51.6,64.04,390.28
,LC08,2015-05-01,-0.36,-7.14,0.37,7.36,-0.52,-1.08,35.08,73.04,397.8
,LC08,2015-09-06,0.49,9.72,0.26,5.26,9.76,-2.0,46.28,62.8,396.88
,LC08,2016-01-05,0.1,2.0,0.04,0.78,2.32,-2.92,39.76,70.24,395.96
,LC08,2016-04-26,0.64,12.86,0.21,4.22,12.92,-2.16,49.6,59.64,396.72
,LC08,2017-01-23,-0.14,-2.86,0.08,1.58,0.2,-8.04,42.76,72.36,390.84
,LC08,2017-02-15,0.21,4.28,0.01,0.26,8.84,-12.68,56.04,63.72,386.2
,LC08,2017-03-28,-0.64,-12.86,0.28,5.52,-4.32,1.04,29.16,76.88,399.92
,LC08,2017-09-27,0.07,1.42,-0.2,-3.94,5.2,-7.56,47.28,67.36,391.32
,LC08,2017-12-25,0.47,9.42,-0.17,-3.42,6.08,-3.88,44.48,66.48,395.0
,LC08,2018-02-02,-0.57,-11.42,-0.59,-11.84,-6.56,-5.44,33.4,79.12,393.44
,LC08,2018-04-07,4.99,99.7,-0.29,-5.78,16.32,-4.28,55.12,56.24,394.6
,LC08,2018-05-02,-0.19,-3.72,-0.1,-2.1,1.68,-3.72,39.92,70.88,395.16
,LC08,2018-08-29,0.0,0.0,-0.14,-2.9,3.2,-3.8,41.52,69.36,395.08
,S2,2018-12-15,4.99,99.7,-0.54,-10.78,18.12,-1.76,54.4,54.44,397.12
,S2,2018-12-23,-0.76,-15.14,-0.49,-9.74,-8.12,-1.56,27.96,80.68,397.32
,S2,2018-12-25,0.14,2.86,-0.67,-13.42,4.48,-5.44,44.44,68.08,393.44
,S2,2019-01-04,-0.69,-13.72,-0.49,-9.74,-0.6,-1.56,35.48,73.16,397.32
,S2,2019-02-01,0.56,11.14,0.03,0.52,5.16,0.0,39.68,67.4,398.88
,S2,2019-02-06,0.73,14.58,0.22,4.48,9.0,0.64,42.88,63.56,399.52
,LC08,2019-02-14,4.99,99.7,-0.24,-4.74,12.68,-4.08,51.28,59.88,394.8
,S2,2019-02-28,4.99,99.7,-0.13,-2.64,13.28,-0.52,48.32,59.28,398.36
,S2,2019-03-23,0.54,10.86,-0.42,-8.42,5.28,-1.36,41.16,67.28,397.52
,S2,2019-04-02,-0.37,-7.42,-0.28,-5.52,1.88,-0.92,37.32,70.68,397.96
,S2,2019-04-07,0.94,18.86,0.1,2.1,9.2,0.04,43.68,63.36,398.92
,LC08,2019-05-05,-0.26,-5.14,-0.14,-2.9,-0.68,-3.8,37.64,73.24,395.08
,LC08,2019-07-08,0.4,8.0,0.1,2.1,11.88,-2.92,49.32,60.68,395.96
,S2,2019-09-09,-0.14,-2.86,-0.12,-2.36,-0.08,-0.44,34.88,72.64,398.44
,LC08,2019-09-10,-0.49,-9.72,-0.09,-1.84,-1.6,-3.64,36.56,74.16,395.24
,LC08,2019-09-17,-0.4,-8.0,-0.12,-2.36,-0.92,-3.72,37.32,73.48,395.16
,S2,2019-09-19,0.63,12.58,-0.13,-2.64,10.84,-0.48,45.84,61.72,398.4
,LC08,2019-10-19,0.46,9.14,-0.22,-4.48,7.48,-0.76,42.76,65.08,398.12
,S2,2019-12-08,-0.77,-15.42,-0.07,-1.32,-6.04,-0.24,28.72,78.6,398.64
,S2,2019-12-20,0.61,12.28,-0.25,-5.0,10.4,-0.76,45.68,62.16,398.12
,LC08,2019-12-22,-0.84,-16.86,-0.33,-6.58,-7.04,-1.4,28.88,79.6,397.48
,S2,2019-12-28,-0.44,-8.86,-0.18,-3.68,-1.64,-0.56,33.44,74.2,398.32
,S2,2020-02-28,0.73,14.58,0.13,2.64,9.08,0.44,43.16,63.48,399.32
,LC08,2020-08-27,0.79,15.72,0.04,0.78,8.92,0.04,43.4,63.64,398.92
,LC08,2020-09-12,0.61,12.28,-0.14,-2.9,5.8,-0.52,40.84,66.68,398.36
,LC08,2020-09-19,-0.63,-12.58,-0.04,-0.78,-2.64,-0.2,32.08,75.2,398.68
,LC08,2020-10-14,-0.9,-18.0,-0.04,-0.78,-7.48,-0.68,27.72,80.0,398.2
,S2,2020-10-20,0.47,9.42,-0.18,-3.68,12.52,-0.56,47.6,60.04,398.32
,LC08,2020-10-21,0.53,10.58,-0.14,-2.9,12.72,-0.52,47.76,59.84,398.36
,S2,2020-11-14,-0.9,-18.0,-0.1,-2.1,-7.52,-0.32,27.32,80.08,398.56
,S2,2020-12-09,0.49,9.72,-0.18,-3.68,15.12,-0.52,50.16,57.44,398.36
,S2,2020-12-27,-0.37,-7.42,-0.25,-5.0,-2.04,-0.76,33.24,74.6,398.12
,S2,2021-01-11,-0.39,-7.72,-0.08,-1.58,-2.2,-0.24,32.56,74.76,398.64
,S2,2021-01-28,-0.67,-13.42,0.01,0.26,-6.32,-0.12,28.32,78.88,398.76
,S2,2021-01-31,0.07,1.42,0.07,1.32,2.04,0.2,36.36,70.52,399.08
,S2,2021-02-12,-0.17,-3.42,0.08,1.58,0.68,0.2,35.0,71.88,399.08
,S2,2021-02-15,0.31,6.28,-0.01,-0.26,4.2,-0.04,38.76,68.36,398.84
,S2,2021-02-20,4.99,99.7,-0.01,-0.26,18.88,-0.04,53.44,53.68,398.84
,S2,2021-03-17,0.63,12.58,-0.09,-1.84,10.72,-0.28,45.52,61.84,398.6
,LC08,2021-03-23,0.47,9.42,0.01,0.26,5.56,-0.08,40.16,67.0,398.8
,S2,2021-04-06,0.51,10.28,0.36,7.1,5.48,1.04,38.96,67.08,399.92
,LC08,2021-08-05,-0.83,-16.58,0.6,12.1,-11.6,1.64,21.28,84.16,400.52
,LC08,2021-08-30,4.99,99.7,0.12,2.36,16.8,0.36,50.96,55.76,399.24
,S2,2021-09-13,0.64,12.86,0.1,2.1,15.44,0.32,49.64,57.12,399.2
,S2,2021-11-02,-0.31,-6.28,0.21,4.22,-5.6,0.64,28.28,78.16,399.52
,S2,2021-11-04,-0.69,-13.72,-0.24,-4.74,-9.88,-0.72,25.36,82.44,398.16
,LC09,2021-11-06,-0.27,-5.42,0.1,2.1,-4.8,0.28,29.44,77.32,399.16
,S2,2021-11-07,-0.29,-5.72,0.01,0.26,-4.48,0.04,30.0,77.04,398.92
,LC08,2021-11-18,-0.31,-6.28,0.04,0.78,-4.96,0.04,29.52,77.52,398.92
,S2,2022-01-01,-0.23,-4.58,0.21,4.22,-5.64,0.64,28.24,78.2,399.52
,S2,2022-01-16,-0.24,-4.86,0.07,1.32,-5.52,0.2,28.8,78.08,399.08
,S2,2022-01-21,0.1,2.0,0.1,2.1,1.96,0.32,36.16,70.6,399.2
,LC08,2022-01-28,0.06,1.14,0.05,1.06,-1.88,0.12,32.52,74.44,399.0
,LC08,2022-02-13,-0.29,-5.72,0.08,1.58,-6.16,0.24,28.12,78.72,399.12
,S2,2022-02-15,-0.43,-8.58,0.13,2.64,-7.44,0.4,26.68,80.0,399.28
,S2,2022-02-17,-0.13,-2.58,0.21,4.22,-4.72,0.64,29.16,77.28,399.52
,S2,2022-02-25,0.79,15.72,0.08,1.58,10.36,0.24,44.64,62.2,399.12
,LC08,2022-03-01,-0.31,-6.28,0.13,2.64,-7.88,0.28,26.36,80.44,399.16
,S2,2022-03-07,0.79,15.72,0.13,2.64,11.12,0.4,45.24,61.44,399.28
,LC09,2022-03-25,0.49,9.72,0.13,2.64,7.28,0.32,41.48,65.24,399.2
,LC08,2022-03-26,0.47,9.42,0.13,2.64,3.8,0.32,38.0,68.72,399.2
,LC08,2022-04-02,-0.16,-3.14,0.3,6.06,-4.72,1.08,28.72,77.28,399.96
,LC09,2022-04-03,-0.01,-0.28,0.3,6.06,-2.64,1.12,30.76,75.12,400.0
,LC08,2022-04-18,-0.07,-1.42,0.22,4.48,-3.56,0.84,30.12,76.08,399.72
,LC09,2022-05-28,0.06,1.14,0.55,11.06,-4.68,2.2,27.64,77.24,401.08
,LC09,2022-08-09,-0.01,-0.28,0.45,8.94,-4.72,1.64,28.16,77.28,400.52
,LC08,2022-09-09,-0.11,-2.28,0.17,3.42,-5.12,0.52,28.88,77.68,399.4
