,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,1999-12-07,,,,
1,2001-01-01,,,,
2,2001-03-15,,,,
3,2002-01-20,,,,
4,2002-02-14,,,,
5,2002-10-12,,,,
6,2003-03-12,,,,
7,2003-11-24,,,,
8,2005-01-29,,,,
9,2006-01-23,,,2.04,
10,2006-06-25,,,,
11,2006-10-31,,,7.67,
12,2008-12-23,,,,
13,2011-01-21,,,,
14,2013-07-14,,,13.72,
15,2013-09-23,,,,
16,2013-11-10,,,,
17,2013-12-21,,,,
18,2014-03-02,,,,
19,2014-08-02,,,6.74,
20,2014-11-06,,,,
21,2014-12-31,,,,
22,2015-04-06,,,,
23,2015-09-13,,,,
24,2015-09-22,,,,
25,2016-01-03,,,6.69,
26,2016-02-20,,,,
27,2016-03-16,,,,
28,2016-11-11,,,,
29,2016-11-18,,,,
30,2017-09-18,,,,
31,2018-01-17,,,,
32,2018-02-02,,,,
33,2018-02-25,,,,
34,2018-03-06,,,,
35,2018-04-30,,,,
36,2018-10-07,,,,
37,2018-12-23,,,19.65,
38,2018-12-26,,,0.83,
39,2019-01-02,,,8.48,
40,2019-01-07,,,,
41,2019-02-01,,,12.55,
42,2019-02-12,,,8.81,
43,2019-02-21,,,3.79,
44,2019-02-28,,,20.4,
45,2019-03-08,,,5.77,
46,2019-03-16,,,21.14,
47,2019-03-28,,,11.29,
48,2019-04-07,,,18.34,
49,2019-04-22,,,9.01,
50,2019-09-09,,,16.33,
51,2019-09-14,,,,
52,2019-09-19,,,1.88,
53,2019-10-04,,,10.48,
54,2019-10-14,,,18.81,
55,2019-11-03,,,4.22,
56,2019-11-11,,,,
57,2019-12-08,,,-34.59,
58,2020-02-06,,,20.13,
59,2020-03-11,,,14.2,
60,2020-03-27,,,8.72,
61,2020-07-17,,,,
62,2020-09-18,,,,
63,2020-12-12,,,,
64,2020-12-27,,,,
65,2021-02-20,,,9.71,
66,2021-03-12,,,,
67,2021-03-17,,,,
68,2021-03-30,,,,
69,2021-04-06,,,,
70,2021-04-26,,,,
71,2021-08-28,,,,
72,2021-08-29,,,,
73,2021-09-23,,,,
74,2021-09-29,,,,
75,2021-10-13,,,,
76,2021-10-31,,,,
77,2021-11-02,,,,
78,2021-12-22,,,,
79,2022-01-06,,,,
80,2022-01-19,,,,
81,2022-01-21,,,,
82,2022-01-26,,,,
83,2022-01-27,,,,
84,2022-02-05,,,,
85,2022-02-13,,,,
86,2022-02-20,,,,
87,2022-02-28,,,,
88,2022-03-01,,,,
89,2022-03-17,,,,
90,2022-03-24,,,,
91,2022-03-25,,,,
92,2022-04-01,,,,
93,2022-04-02,,,,
94,2022-05-28,,,,
95,2022-06-12,,,54.64,
96,2022-07-23,,,,
97,2022-08-08,,,,
98,2022-09-08,,,,
99,2022-09-09,,,,
100,2022-10-13,,,,
101,2022-10-18,,,,
102,2022-12-02,,,,
103,2022-12-21,,,,
104,2022-12-30,,,,
105,2023-01-07,,,,
106,2023-01-11,,,,
107,2023-01-16,,,,
108,2023-02-08,,,,
109,2023-02-10,,,,
110,2023-02-15,,,,
111,2023-02-16,,,,
112,2023-02-23,,,,
113,2023-02-24,,,,
114,2023-02-25,,,,
115,2023-03-03,,,,
116,2023-03-04,,,,
117,2023-03-17,,,,
118,2023-03-27,,,,
119,2023-04-06,,,,
120,2023-04-13,,,,
121,2023-04-29,,,,
122,2023-05-14,,,,
123,2023-05-22,,,18.92,
124,2023-05-23,,,,
125,2023-07-01,,,,
126,2023-07-25,,,-4.91,
127,2023-08-02,,,,
128,2023-09-03,,,,
129,2023-09-08,,,,
130,2023-09-12,,,,
131,2023-10-06,,,,
132,2023-10-21,,,,
133,2023-10-29,,,,
134,2023-11-17,,,,
135,2023-11-30,,,,
136,2023-12-07,,,,
137,2023-12-12,,,,
138,2023-12-27,,,,
139,2024-01-06,,,,
140,2024-01-11,,,,
141,2024-02-10,,,,
142,2024-02-20,,,6.24,
143,2024-03-21,,,,
144,2024-05-01,,,,
145,2024-05-08,,,,
146,2024-07-20,,,,
147,2024-10-17,,,,
148,2024-10-24,,,,
149,2024-11-21,,,,
