,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,1999-12-07,0.0,0.0,-20.3,-8.4
1,1999-12-30,38.95,0.9,18.65,-7.5
2,2000-10-29,-12.23,-4.0,-32.53,-12.4
3,2001-11-01,-11.61,-2.1,-31.91,-10.5
4,2001-11-26,35.39,-0.3,15.09,-8.7
5,2001-12-19,10.15,0.94,-10.15,-7.46
6,2002-10-12,28.92,-6.02,8.62,-14.42
7,2002-12-31,23.7,3.86,3.4,-4.54
8,2003-10-07,19.61,-6.28,-0.69,-14.68
9,2004-11-01,9.97,-4.86,-10.33,-13.26
10,2006-01-23,32.27,3.92,11.97,-4.48
11,2007-10-02,26.66,-6.74,6.36,-15.14
12,2009-02-09,-20.88,4.56,-41.18,-3.84
13,2010-12-20,2.83,8.56,-17.47,0.16
14,2011-03-03,-7.41,6.48,-27.71,-1.92
15,2013-12-12,42.03,11.48,21.73,3.08
16,2014-09-19,39.35,6.06,19.05,-2.34
17,2014-10-12,-4.27,-1.24,-24.57,-9.64
18,2014-12-31,42.12,17.32,21.82,8.92
19,2015-09-29,-14.73,-3.4,-35.03,-11.8
20,2015-12-18,29.48,3.82,9.18,-4.58
21,2016-02-13,9.07,5.98,-11.23,-2.42
22,2018-09-21,40.37,-2.06,20.07,-10.46
23,2019-03-28,51.9,15.52,31.6,7.12
24,2019-08-10,45.89,-1.46,25.59,-9.86
25,2019-09-14,31.98,-1.12,11.68,-9.52
26,2019-09-19,31.0,-2.14,10.7,-10.54
27,2020-10-08,48.02,1.94,27.72,-6.46
28,2021-03-30,2.7,14.9,-17.6,6.5
29,2021-11-27,50.34,15.98,30.04,7.58
30,2022-02-15,13.55,-8.76,-6.75,-17.16
31,2022-03-01,21.93,12.12,1.63,3.72
32,2022-09-08,57.58,-1.94,37.28,-10.34
33,2022-09-09,53.27,-2.1,32.97,-10.5
34,2022-11-03,-29.99,15.16,-50.29,6.76
35,2022-12-22,18.1,13.66,-2.2,5.26
36,2023-04-13,46.49,14.52,26.19,6.12
37,2023-10-06,27.7,3.44,7.4,-4.96
38,2023-11-02,13.05,8.94,-7.25,0.54
39,2024-09-22,-7.19,-3.82,-27.49,-12.22
40,2024-12-10,43.31,17.28,23.01,8.88
41,2024-12-18,-6.53,13.5,-26.83,5.1
42,2025-08-15,-0.45,4.72,-20.75,-3.68
