,date,sand_area_percentage_change,water_area_percentage_change,vegetation_area_percentage_change
0,2004-11-01,0.0,0.0,0.0
1,2006-02-08,-1.03,0.9,0.13
2,2007-01-26,0.9,-0.86,-0.04
3,2011-01-21,0.44,-0.32,-0.13
4,2013-08-22,-0.05,-0.06,0.11
5,2013-09-23,0.16,-0.05,-0.11
6,2014-10-28,-0.13,-0.02,0.15
7,2017-06-30,0.81,-0.71,-0.1
8,2017-09-18,-1.25,1.1,0.15
9,2018-11-08,17.09,-17.08,-0.0
10,2018-12-28,28.01,-27.8,-0.21
11,2019-01-17,-41.67,41.63,0.04
12,2019-03-16,-3.02,2.88,0.15
13,2019-03-28,0.98,-0.84,-0.14
14,2019-09-08,-0.97,0.9,0.07
15,2020-01-14,0.05,-0.09,0.05
16,2020-12-27,31.06,-30.93,-0.13
17,2020-12-30,10.43,-10.41,-0.01
18,2021-01-14,-37.4,37.39,0.0
19,2021-02-01,10.47,-10.61,0.13
20,2021-10-21,-13.31,13.51,-0.2
21,2021-10-26,0.49,-0.57,0.08
22,2021-12-12,24.47,-24.49,0.02
23,2022-01-27,-26.25,26.13,0.11
24,2022-10-13,1.43,-1.24,-0.19
25,2022-12-05,-1.83,1.59,0.24
26,2022-12-21,0.32,-0.3,-0.01
27,2022-12-29,0.1,-0.07,-0.03
28,2023-02-03,39.66,-39.47,-0.19
29,2023-02-13,-37.1,37.15,-0.04
30,2023-03-05,23.81,-23.85,0.04
31,2023-04-14,-24.16,24.16,-0.0
32,2023-11-10,28.5,-28.68,0.18
33,2024-02-28,-29.23,29.22,0.02
34,2024-10-05,16.01,-15.9,-0.11
35,2025-01-15,-14.92,14.9,0.02
